Place of interest,Type of place,Place address,Distance from station in mts,BiciMAD station,BiciMAD address
"A (mas) ECU control urbanístico, S.L. Entidad Colaboradora",Instalaciones accesibles NO municipales,Calle Añastro 11 Planta Baja Puerta 10,1766.07,254 - Pío XII,Avenida Pío XII nº 3
"APFMPS, Residencia, centro de día y centro ocupacional Instituto Doctor Quintero Lumbreras",Instalaciones accesibles NO municipales,Carretera Colmenar Viejo 13.6,9554.24,217 - Pedro Rico,Calle Pedro Rico nº 4
ASPAYM Madrid (Asociación de Parapléjicos y Personas con Gran Discapacidad Física de la Comunidad de Madrid),Instalaciones accesibles NO municipales,Camino Valderribas 115,723.7,226 - Sierra Toledana,Camino de Valderribas nº 94
Administración Ciudad Lineal. AEAT,Instalaciones accesibles NO municipales,Calle Uruguay 16,506.84,160 - Colombia,Calle Colombia nº 7
Administración Fermín Caballero. AEAT,Instalaciones accesibles NO municipales,Calle Fermin Caballero 66,2474.47,217 - Pedro Rico,Calle Pedro Rico nº 4
Administración Guzmán el Bueno. AEAT,Instalaciones accesibles NO municipales,Calle Guzman El Bueno 139,179.01,256 - Reina Victoria,Calle Beatriz de Bobadilla frente al nº 2
Administración María de Molina. AEAT,Instalaciones accesibles NO municipales,Calle Nuñez De Balboa 116,221.77,140 - Velázquez 130,Calle Velázquez nº 130
Administración Montalbán. AEAT,Instalaciones accesibles NO municipales,Calle Montalban 6,195.12,65 - Antonio Maura,Calle Antonio Maura nº 15
Administración Sudeste. AEAT,Instalaciones accesibles NO municipales,Calle Camino De Los Vinateros 51,437.27,218 - Camino Vinateros,Calle Camino de los Vinateros nº 28
Administración Suroeste. AEAT,Instalaciones accesibles NO municipales,Calle Aguacate 27,4485.45,212 - Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9
Aeropuerto Adolfo Suarez Madrid -  Barajas,Instalaciones accesibles NO municipales,Avenida Hispanidad,9040.1,215 - Gutierre de Cetina,Calle Gutierre de Cetina nº 77
Alicia Koplowitz Centro de día y centro residencial de Esclerosis Múltiple de la Comunidad de Madrid,Instalaciones accesibles NO municipales,Bulevar Jose Prat 40,1720.32,221 - Pavones,Calle Hacienda de Pavones nº 342
Aparcamiento público Saba Estación Ferroviaria Madrid Chamartín,Instalaciones accesibles NO municipales,Calle Agustin De Foxa 34,142.12,252 - Chamartín,Calle Rodríguez Jaén nº 40
Aparcamiento público Saba Estación Madrid Atocha P2 y P3,Instalaciones accesibles NO municipales,Paseo Infanta Isabel  Sin Número,351.53,80b - Atocha B,Paseo de la Infanta Isabel nº 3
Aparcamiento público de Metro de Madrid. Miguel Hernández,Instalaciones accesibles NO municipales,Avenida Albufera 270,1601.22,221 - Pavones,Calle Hacienda de Pavones nº 342
Aparcamiento público. Plaza Ramón y Cajal (Ciudad Universitaria),Instalaciones accesibles NO municipales,Plaza Ramon Y Cajal 1,122.1,258 - Ciudad Universitaria 1,Avenida de la Complutense (Metro Ciudad Universitaria)
"Asociación esclerosis múltiple Madrid, centro de rehabilitación",Instalaciones accesibles NO municipales,Calle Sangenjo 36 Planta 1º,1336.29,217 - Pedro Rico,Calle Pedro Rico nº 4
Auditorio Nacional de Música,Instalaciones accesibles NO municipales,Calle Principe De Vergara 146,231.83,146 - María Francisca 1,Calle María Francisca nº 1
Biblioteca Central y Servicio de Documentación del Ministerio del Interior,Instalaciones accesibles NO municipales,Calle Amador De Los Rios 7,211.01,104 - Castellana,Paseo de la Castellana nº 4
Biblioteca Nacional de España,Instalaciones accesibles NO municipales,Paseo Recoletos 20,25.23,94 - Biblioteca Nacional,Paseo de Recoletos nº 20
Biblioteca Pública Antonio Mingote (Latina),Instalaciones accesibles NO municipales,Calle Rafael Finat 51,5634.78,224 - Caramuel,Calle Caramuel nº 51
Biblioteca Pública Elena Fortún (Retiro),Instalaciones accesibles NO municipales,Calle Doctor Esquerdo 189,42.38,84 - Valderribas,Calle Doctor Esquerdo nº 191
Biblioteca Pública Hortaleza,Instalaciones accesibles NO municipales,Calle Abertura 2,3591.73,254 - Pío XII,Avenida Pío XII nº 3
Biblioteca Pública Javier Marías (Moratalaz),Instalaciones accesibles NO municipales,Calle Corregidor Alonso De Tobar 5,313.46,220 - Plaza del Encuentro,Calle Arroyo de las Pilillas nº 6
Biblioteca Pública José Hierro (Usera),Instalaciones accesibles NO municipales,Avenida Rafaela Ybarra 43,1405.99,213 - Glorieta de Cádiz,Calle Antonio López nº 129
Biblioteca Pública José Luis Sampedro (Chamberí),Instalaciones accesibles NO municipales,Calle Felipe El Hermoso 4,83.28,246 - Santa Engracia 87,Calle Santa Engracia nº 87
Biblioteca Pública Luis Martín Santos (Villa de Vallecas),Instalaciones accesibles NO municipales,Plaza Antonio Maria Segovia 2,3182.61,221 - Pavones,Calle Hacienda de Pavones nº 342
Biblioteca Pública Luis Rosales (Carabanchel),Instalaciones accesibles NO municipales,Calle Antonia Rodriguez Sacristan 7 Y 9,4468.47,212 - Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9
Biblioteca Pública María Moliner (Villaverde),Instalaciones accesibles NO municipales,Calle Villalonso 16,4526.85,213 - Glorieta de Cádiz,Calle Antonio López nº 129
Biblioteca Pública Miguel Hernández (Puente de Vallecas),Instalaciones accesibles NO municipales,Avenida Rafael Alberti 36,1996.18,221 - Pavones,Calle Hacienda de Pavones nº 342
Biblioteca Pública Pedro Salinas (Centro),Instalaciones accesibles NO municipales,Glorieta Puerta De Toledo 1,6.75,45 - Puerta de Toledo,Glorieta de la Puerta de Toledo nº 1
Biblioteca Pública Rafael Alberti (Fuencarral - El Pardo),Instalaciones accesibles NO municipales,Calle Sangenjo 38,1356.14,217 - Pedro Rico,Calle Pedro Rico nº 4
Biblioteca Pública Ruiz Egea (Chamberí),Instalaciones accesibles NO municipales,Calle Raimundo Fernandez Villaverde 6,91.83,132 - Glorieta de los Cuatro Caminos,Calle Santa Engracia nº 168
Biblioteca Pública del Estado Manuel Alvar  (Salamanca),Instalaciones accesibles NO municipales,Calle Azcona 42,146.12,243 - Cartagena,Calle Cartagena nº 34
Biblioteca de la Facultad de Derecho de la Universidad Complutense de Madrid,Instalaciones accesibles NO municipales,Plaza Menendez Pelayo 4,179.03,261 - Facultad Derecho,Avenida Complutense nº 23
Biblioteca de la Real Academia de Jurisprudencia y Legislación,Instalaciones accesibles NO municipales,Calle Marques De Cubas 13,139.86,29 - Marqués de Cubas,Calle del Marqués de Cubas nº 25
Biblioteca del Centro de Estudios Políticos y Constitucionales,Instalaciones accesibles NO municipales,Plaza Marina Española 9,190.74,30 - San Quintín,Calle Pavía nº 6
Biblioteca del Congreso de los Diputados,Instalaciones accesibles NO municipales,Calle Floridablanca 1,189.64,29 - Marqués de Cubas,Calle del Marqués de Cubas nº 25
Biblioteca del Consejo General del Poder judicial,Instalaciones accesibles NO municipales,Calle Marques De La Ensenada 8,139.44,10 - Marqués de la Ensenada,Calle Marqués de la Ensenada nº 16
Biblioteca del Defensor del Pueblo,Instalaciones accesibles NO municipales,Calle Fortuny 22,172.41,198 - Rubén Darío,Glorieta Rubén Darío 2
Biblioteca del Instituto Nacional de la Administración Pública (INAP),Instalaciones accesibles NO municipales,Calle Atocha 106,190.93,67 - Almadén,Calle Almadén nº 28
Biblioteca del Senado,Instalaciones accesibles NO municipales,Calle Bailen 3,251.52,116a - Plaza de España A,Calle Princesa nº 5
Biblioteca del Tribunal Supremo,Instalaciones accesibles NO municipales,Plaza Villa De Paris 1,145.14,10 - Marqués de la Ensenada,Calle Marqués de la Ensenada nº 16
Biblioteca del Tribunal de Cuentas,Instalaciones accesibles NO municipales,Calle Jose Ortega Y Gasset 100,60.23,145 - Ortega y Gasset 87,Calle Ortega y Gasset nº 87
CaixaForum Madrid,Instalaciones accesibles NO municipales,Paseo Prado 36,23.87,67 - Almadén,Calle Almadén nº 28
Capilla de San Isidro,Instalaciones accesibles NO municipales,Calle Aguila 1,160.92,38 - Plaza de los Carros,Carrera de San Francisco nº 1
Casa de México,Instalaciones accesibles NO municipales,Calle Alberto Aguilera 20,294.28,3 - Plaza Conde Suchil,Plaza del Conde del Valle de Súchil nº 3
Casón del Buen Retiro.,Instalaciones accesibles NO municipales,Calle Alfonso Xii 28,158.26,65 - Antonio Maura,Calle Antonio Maura nº 15
Centro Concertado de Atención a las Adicciones (CCAD) Casa de Campo (Cruz Roja),Instalaciones accesibles NO municipales,Avenida Portugal,560.88,216 - Puerta del Ángel,Plaza Puerta del Ángel nº 4
Centro de Atención e Información de la Agencia de la Seguridad Social (CAISS) nº 13 Centro,Instalaciones accesibles NO municipales,Calle Cedaceros 11,143.82,28 - Sevilla,Calle Alcalá nº 27
Centro de Día Privado 'Casa de las Flores',Instalaciones accesibles NO municipales,Calle Rodriguez San Pedro 72,221.61,111a - Arcipreste de Hita A,Calle Arcipreste de Hita nº 12
Centro de Día Privado 'DomusVi Albufera',Instalaciones accesibles NO municipales,Calle Sierra De Alcubierre 8,303.48,227 - Concordia,Calle Arroyo del Olivar nº 6
Centro de Día Privado 'DomusVi Maestranza',Instalaciones accesibles NO municipales,Calle Tellez 30 Planta Posterior - Local 16,108.14,178 - Junta Municipal Retiro,Calle León Gil de Palacio nº 3
Centro de Día Privado 'Florencia',Instalaciones accesibles NO municipales,Calle Florencia 24,831.57,221 - Pavones,Calle Hacienda de Pavones nº 342
Centro de Día Privado 'Los Nogales Hortaleza',Instalaciones accesibles NO municipales,Calle Alcobendas 12,3655.3,230 - Carlota O’Neill,Calle Carlota O'Neill nº 32
Centro de Día Privado 'Muguet',Instalaciones accesibles NO municipales,Calle Muguet 7,4606.11,212 - Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9
Centro de Día Privado 'Reina Sofía',Instalaciones accesibles NO municipales,Calle Infanta Mercedes 26,325.03,152 - General Perón 1,Avenida del General Perón frente al nº 4
Centro de Día Privado 'Sanivida Arganzuela',Instalaciones accesibles NO municipales,Calle Puerto De La Cruz Verde 14 Planta Bajo,477.64,235 - Embajadores 191,Calle Sodio nº 1B
Centro de Día Privado 'Sanivida Chamberí',Instalaciones accesibles NO municipales,Calle Palafox 17 Planta Bajo,239.78,124 - Manuel Silvela,Calle Manuel Silvela nº 20
Centro de Día Privado 'Trébol',Instalaciones accesibles NO municipales,Calle Palomares 71,4841.71,213 - Glorieta de Cádiz,Calle Antonio López nº 129
Centro de Educación Especial El Despertar,Instalaciones accesibles NO municipales,Calle Adonis 1,5648.72,224 - Caramuel,Calle Caramuel nº 51
Centro de Educación de Personas Adultas (CEPA) Distrito Centro,Instalaciones accesibles NO municipales,Calle San Bernardo 70 Planta 2,142.47,15 - San Vicente Ferrer,Calle San Vicente Ferrer nº 64
Centro de Educación de Personas Adultas (CEPA) Hortaleza - Mar Amarillo,Instalaciones accesibles NO municipales,Calle Mar Amarillo 21,3562.38,230 - Carlota O’Neill,Calle Carlota O'Neill nº 32
Centro de Natación Mundial 86 (M - 86),Instalaciones accesibles NO municipales,Calle Jose Martinez De Velasco 3,222.97,72 - Sainz de Baranda,Calle Doctor Esquerdo nº 99
Centro de atención e información de la Agencia de la Seguridad Social (CAISS) nº 14 Maldonado,Instalaciones accesibles NO municipales,Calle Maldonado 2,212.11,142 - Castellana 42,Paseo de la Castellana nº 42
Centro de atención e información de la Agencia de la Seguridad Social (CAISS) nº 15 Delicias - Usera,Instalaciones accesibles NO municipales,Calle Amor Hermoso 52 Y 54,632.44,213 - Glorieta de Cádiz,Calle Antonio López nº 129
Centro de atención e información de la Agencia de la Seguridad Social (CAISS) nº 4 Vallecas,Instalaciones accesibles NO municipales,Calle Picos De Europa 49,574.66,226 - Sierra Toledana,Camino de Valderribas nº 94
Centro de atención e información de la Agencia de la Seguridad Social (CAISS) nº 5 Ciudad Lineal,Instalaciones accesibles NO municipales,Calle Miguel Fleta 3,999.7,215 - Gutierre de Cetina,Calle Gutierre de Cetina nº 77
Centro de atención e información de la Agencia de la Seguridad Social (CAISS) nº 7 Carabanchel,Instalaciones accesibles NO municipales,Avenida Pedro Diez 19,1762.84,212 - Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9
Centro de atención e información de la Agencia de la Seguridad Social (CAISS) nº 8 Villaverde,Instalaciones accesibles NO municipales,Avenida Real De Pinto 7 Y 9,4565.03,213 - Glorieta de Cádiz,Calle Antonio López nº 129
Centro de donación de sangre de Cruz Roja,Instalaciones accesibles NO municipales,Calle Juan Montalvo 3,417.12,237 - Pablo Iglesias,Calle Francisco Balseiro nº 1
Centro de donación de sangre de Cruz Roja Fin de Semana,Instalaciones accesibles NO municipales,Calle Fuencarral 120,154.64,4 - Malasaña,Calle Manuela Malasaña nº 5
Centro de día Argüelles,Instalaciones accesibles NO municipales,Calle Andres Mellado 31,88.85,199 - Fernando el Católico,Calle Fernando el Católico nº 61
Centro de día Funprodami,Instalaciones accesibles NO municipales,Calle Garcia Miranda 4,1218.38,227 - Concordia,Calle Arroyo del Olivar nº 6
Centro de día San Alfonso,Instalaciones accesibles NO municipales,Avenida Rafaela Ybarra 75 Planta Bajo,1723.56,213 - Glorieta de Cádiz,Calle Antonio López nº 129
Centro de día para mayores Saraiva,Instalaciones accesibles NO municipales,Calle Fundadores 10,263.11,183 - Doctor Esquerdo-Hermosilla,Calle Hermosilla nº 135
Centro de día y centro de rehabilitación Fundación Manantial para personas con trastorno mental grave de Barajas,Instalaciones accesibles NO municipales,Plaza Hermanos Falco Y Alvarez De Toledo 1,8548.04,215 - Gutierre de Cetina,Calle Gutierre de Cetina nº 77
Centro de día y centro ocupacional para la atención al funcionamiento de personas con patología dual Pardo Valcarce,Instalaciones accesibles NO municipales,Calle Monasterio De Las Huelgas 15,3228.74,217 - Pedro Rico,Calle Pedro Rico nº 4
Centro de día y residencia Medinaceli para personas con discapacidad intelectual,Instalaciones accesibles NO municipales,Calle Estudiantes 3,151.04,256 - Reina Victoria,Calle Beatriz de Bobadilla frente al nº 2
"Centro de día, centro ocupacional y residencia APADEMA",Instalaciones accesibles NO municipales,Calle Moralzarzal 73,3393.51,217 - Pedro Rico,Calle Pedro Rico nº 4
Centro de enseñanza CESUR - Madrid II,Instalaciones accesibles NO municipales,Calle Albarracin 27,1094.0,215 - Gutierre de Cetina,Calle Gutierre de Cetina nº 77
Centro de rehabilitación INDANE,Instalaciones accesibles NO municipales,Calle Vallehermoso 100 Planta Baja,171.69,202 - Parque Santander,Calle Santander esquina con Avenida de Filipinas
Centro de rehabilitación Orpea Madrid Mirasierra,Instalaciones accesibles NO municipales,Avenida Ventisquero De La Condesa 46 Planta Baja,3618.17,217 - Pedro Rico,Calle Pedro Rico nº 4
Centro de rehabilitación y recuperación y residencia Medinaceli,Instalaciones accesibles NO municipales,Calle Ramirez Tome 38,1852.88,221 - Pavones,Calle Hacienda de Pavones nº 342
Centro ocupacional y residencia Carabanchel,Instalaciones accesibles NO municipales,Calle General Ricardos 177,2652.27,212 - Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9
Centro ocupacional y residencia Fundación ALAS Madrid,Instalaciones accesibles NO municipales,Calle Encomienda De Palacios 235,324.36,221 - Pavones,Calle Hacienda de Pavones nº 342
Cine Cinesa Las Rosas,Instalaciones accesibles NO municipales,Avenida Guadalajara 2,2409.92,215 - Gutierre de Cetina,Calle Gutierre de Cetina nº 77
Cine Cinesa Manoteras,Instalaciones accesibles NO municipales,Avenida Manoteras 40,2342.47,249 - Manuel Caldeiro,Paseo de la Castellana nº 298
Cine Cinesa Méndez Álvaro,Instalaciones accesibles NO municipales,Calle Acanto 2,270.02,180 - Méndez Álvaro,Calle Retama nº 5
Cine Cinesa Proyecciones,Instalaciones accesibles NO municipales,Calle Fuencarral 136,292.2,200 - Quevedo,Glorieta de Quevedo nº 5
Cine La Vaguada,Instalaciones accesibles NO municipales,Avenida Monforte De Lemos 36,2159.01,207 - Remonta,Calle Azucenas nº 1
Club Deportivo Somontes,Instalaciones accesibles NO municipales,Carretera El Pardo 43,5540.2,261 - Facultad Derecho,Avenida Complutense nº 23
Colegio Comunidad Infantil Villaverde,Instalaciones accesibles NO municipales,Calle Villastar 10,5240.05,213 - Glorieta de Cádiz,Calle Antonio López nº 129
Colegio Diocesano Cristo de la Guía,Instalaciones accesibles NO municipales,Calle Ezcaray 3,2581.15,221 - Pavones,Calle Hacienda de Pavones nº 342
Colegio El Valle II,Instalaciones accesibles NO municipales,Calle Ana De Austria 60,4223.69,249 - Manuel Caldeiro,Paseo de la Castellana nº 298
Colegio Internacional J.H. Newman,Instalaciones accesibles NO municipales,Avenida Guadalajara 28,2994.75,215 - Gutierre de Cetina,Calle Gutierre de Cetina nº 77
Colegio Jesús María. Calle Hermanos García Noblejas 68,Instalaciones accesibles NO municipales,Calle Hermanos Garcia Noblejas 68,951.7,215 - Gutierre de Cetina,Calle Gutierre de Cetina nº 77
Colegio Juan de Valdés,Instalaciones accesibles NO municipales,Avenida Canillejas A Vicalvaro 135,3472.35,215 - Gutierre de Cetina,Calle Gutierre de Cetina nº 77
Colegio La Salle-La Paloma - Fundación Lara,Instalaciones accesibles NO municipales,Calle Paloma 21,152.01,45 - Puerta de Toledo,Glorieta de la Puerta de Toledo nº 1
Colegio Liceo Sorolla B,Instalaciones accesibles NO municipales,Calle Nueva Zelanda 21,1799.7,261 - Facultad Derecho,Avenida Complutense nº 23
Colegio Mayor Alcor,Instalaciones accesibles NO municipales,Calle General Ampudia 7,188.06,203 - San Francisco de Sales,Calle General Ampudia nº 2
Colegio Mayor Aquinas (Santo Tomás de Aquino),Instalaciones accesibles NO municipales,Calle Leonardo Prieto Castro 6,735.77,260 - Facultad Biología,Calle José Antonio Novais frente al nº 12
Colegio Mayor Chaminade,Instalaciones accesibles NO municipales,Paseo Juan Xxiii 9,446.99,256 - Reina Victoria,Calle Beatriz de Bobadilla frente al nº 2
Colegio Mayor Fundación SEPI,Instalaciones accesibles NO municipales,Avenida Gregorio Del Amo 2,560.42,256 - Reina Victoria,Calle Beatriz de Bobadilla frente al nº 2
Colegio Mayor Juan Luis Vives,Instalaciones accesibles NO municipales,Calle Francisco Suarez 7,168.56,255 - López Pozas,Calle General López Pozas nº 2
Colegio Mayor Juan XXIII Roncalli,Instalaciones accesibles NO municipales,Calle Ramiro De Maeztu 3,556.7,256 - Reina Victoria,Calle Beatriz de Bobadilla frente al nº 2
Colegio Mayor Loyola,Instalaciones accesibles NO municipales,Paseo Juan Xxiii 17,442.52,256 - Reina Victoria,Calle Beatriz de Bobadilla frente al nº 2
Colegio Mayor Marqués de la Ensenada,Instalaciones accesibles NO municipales,Avenida Seneca 18,641.92,257 - INEF,Avenida Juan de Herrera frente a la calle Paul Guinard
Colegio Mayor Nuestra Señora de Guadalupe,Instalaciones accesibles NO municipales,Avenida Seneca 4,454.22,112 - Paseo de Moret,Paseo de Moret nº 11
Colegio Mayor Nuestra Señora de África,Instalaciones accesibles NO municipales,Calle Ramiro De Maeztu 8,617.95,260 - Facultad Biología,Calle José Antonio Novais frente al nº 12
Colegio Mayor Padre Poveda,Instalaciones accesibles NO municipales,Calle Isaac Peral 60,364.49,244 - Hospital Clínico,Calle Isaac Peral nº 44
Colegio Mayor Santa María del Pino,Instalaciones accesibles NO municipales,Paseo San Francisco De Sales 13,153.49,244 - Hospital Clínico,Calle Isaac Peral nº 44
Colegio Mayor Santa Teresa de Jesús,Instalaciones accesibles NO municipales,Avenida Seneca 12,421.3,257 - INEF,Avenida Juan de Herrera frente a la calle Paul Guinard
Colegio Mayor Universitario San Agustín,Instalaciones accesibles NO municipales,Travesia Antonio Nebrija 4,362.8,257 - INEF,Avenida Juan de Herrera frente a la calle Paul Guinard
Colegio Mayor Universitario San Pablo,Instalaciones accesibles NO municipales,Calle Isaac Peral 58,263.9,244 - Hospital Clínico,Calle Isaac Peral nº 44
Colegio Mayor Vedruna,Instalaciones accesibles NO municipales,Glorieta Presidente Garcia Moreno 2,154.18,256 - Reina Victoria,Calle Beatriz de Bobadilla frente al nº 2
Colegio Mayor África,Instalaciones accesibles NO municipales,Calle Ramiro De Maeztu 2,487.77,256 - Reina Victoria,Calle Beatriz de Bobadilla frente al nº 2
Colegio Oficial de Arquitectos de Madrid (COAM),Instalaciones accesibles NO municipales,Calle Hortaleza 63,8.89,6 - Colegio Arquitectos,Calle Hortaleza nº 63
Colegio Patrocinio de San José,Instalaciones accesibles NO municipales,Calle Edgar Neville 24,200.46,151 - Orense 12,Calle Orense nº 12
Colegio Público Arquitecto Gaudí,Instalaciones accesibles NO municipales,Calle Rosa Jardon 10,1057.17,254 - Pío XII,Avenida Pío XII nº 3
Colegio Público Ciudad de Jaén,Instalaciones accesibles NO municipales,Calle Madre Rosa Blanco 3,1825.21,213 - Glorieta de Cádiz,Calle Antonio López nº 129
Colegio Público Escuelas Bosque,Instalaciones accesibles NO municipales,Avenida Santo Angel De La Guarda 4,564.58,239 - Francos Rodríguez,Calle Francos Rodríguez nº 62
Colegio Público Felipe II,Instalaciones accesibles NO municipales,Avenida Asturias 70,1122.21,207 - Remonta,Calle Azucenas nº 1
Colegio Público Fernando el Católico,Instalaciones accesibles NO municipales,Calle Fernando El Catolico 16,147.74,127 - Fernando el Católico,Calle Fernando el Católico nº 19
Colegio Público Fontarrón,Instalaciones accesibles NO municipales,Calle Arroyo Fontarron 24,595.71,221 - Pavones,Calle Hacienda de Pavones nº 342
Colegio Público Isabel la Católica,Instalaciones accesibles NO municipales,Calle Barcelo 2,78.22,54 - Barceló,Calle Barceló nº 7
Colegio Público Jorge Guillén,Instalaciones accesibles NO municipales,Avenida El Ferrol 47,1791.63,207 - Remonta,Calle Azucenas nº 1
Colegio Público Legado Crespo,Instalaciones accesibles NO municipales,Paseo Acacias 2,121.57,47 - Embajadores 1,Glorieta de Embajadores nº 6
Colegio Público Leopoldo Alas,Instalaciones accesibles NO municipales,Calle Pedrezuela 18,350.8,234 - Marqués de Corbera 52,Avenida Marqués de Corbera nº 52
Colegio Público Loyola de Palacio,Instalaciones accesibles NO municipales,Calle Embalse De Navacerrada 60,5983.5,221 - Pavones,Calle Hacienda de Pavones nº 342
Colegio Público Luis Bello,Instalaciones accesibles NO municipales,Calle Luis Cabrera 66,184.93,196 - Prosperidad,Calle Suero de Quiñones nº 2
Colegio Público Marqués de Suanzes,Instalaciones accesibles NO municipales,Avenida Veinticinco De Septiembre 1,2362.52,215 - Gutierre de Cetina,Calle Gutierre de Cetina nº 77
Colegio Público Martínez Montañés,Instalaciones accesibles NO municipales,Calle Hacienda De Pavones 223,187.88,221 - Pavones,Calle Hacienda de Pavones nº 342
Colegio Público Méjico (México),Instalaciones accesibles NO municipales,Avenida Badajoz 74,207.86,230 - Carlota O’Neill,Calle Carlota O'Neill nº 32
Colegio Público Nuestra Señora de la Paloma,Instalaciones accesibles NO municipales,Calle Tabernillas 2,37.06,38 - Plaza de los Carros,Carrera de San Francisco nº 1
Colegio Público Parque Aluche,Instalaciones accesibles NO municipales,Calle Quero 47,4155.51,224 - Caramuel,Calle Caramuel nº 51
Colegio Público Pinar de San José,Instalaciones accesibles NO municipales,Calle Patrimonio De La Humanidad 39,6506.28,224 - Caramuel,Calle Caramuel nº 51
Colegio Público Reina Victoria,Instalaciones accesibles NO municipales,Calle Principe De Vergara 61,179.26,143 - Diego de León 52,Calle Diego de León nº 52
Colegio Público San Juan de la Cruz,Instalaciones accesibles NO municipales,Calle Honduras 10,287.09,254 - Pío XII,Avenida Pío XII nº 3
Colegio Público Tomás Bretón,Instalaciones accesibles NO municipales,Calle Alejandro Dumas 4,237.28,169 - Pirámides,Calle Toledo nº 181
Colegio Público Virgen del Cerro,Instalaciones accesibles NO municipales,Calle Mohernando 1,1161.37,220 - Plaza del Encuentro,Calle Arroyo de las Pilillas nº 6
Colegio Público de Educación Especial Francisco del Pozo,Instalaciones accesibles NO municipales,Callejon Domine 6,1494.52,217 - Pedro Rico,Calle Pedro Rico nº 4
Colegio Público de Educación Especial Fundación Goyeneche,Instalaciones accesibles NO municipales,Calle Arcos De Jalon 22,2426.29,215 - Gutierre de Cetina,Calle Gutierre de Cetina nº 77
Colegio Público de Educación Especial María Soriano,Instalaciones accesibles NO municipales,Avenida Peseta 30,6366.7,224 - Caramuel,Calle Caramuel nº 51
Colegio Sagrado Corazón. Avenida Alfonso XIII.,Instalaciones accesibles NO municipales,Avenida Alfonso Xiii 127,674.52,160 - Colombia,Calle Colombia nº 7
Colegio Santa María la Blanca,Instalaciones accesibles NO municipales,Calle Monasterio De Oseira 17,3411.74,217 - Pedro Rico,Calle Pedro Rico nº 4
Colegio Santo Domingo Savio,Instalaciones accesibles NO municipales,Calle Santo Domingo Savio 2,725.53,215 - Gutierre de Cetina,Calle Gutierre de Cetina nº 77
Colegio Scuola Materna Italiana de Madrid,Instalaciones accesibles NO municipales,Calle Agustin De Betancourt 1,226.12,134 - Agustín de Betancourt,Calle María de Guzmán nº 58
Colegio Stella Maris La Gavia,Instalaciones accesibles NO municipales,Calle Peñaranda De Bracamonte 9,4431.01,221 - Pavones,Calle Hacienda de Pavones nº 342
Colegio Tajamar,Instalaciones accesibles NO municipales,Calle Pio Felipe 12,1055.18,220 - Plaza del Encuentro,Calle Arroyo de las Pilillas nº 6
Colegio Ártica,Instalaciones accesibles NO municipales,Calle Morales 25,6086.91,212 - Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9
Comisaría de Policía (Carabanchel),Instalaciones accesibles NO municipales,Calle Padre Amigo 3,3323.7,212 - Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9
Comisaría de Policía y Oficina de Tramitación DNI y Pasaporte (Chamartín),Instalaciones accesibles NO municipales,Avenida Pio Xii 48,1078.17,254 - Pío XII,Avenida Pío XII nº 3
Comisaría de Policía y Oficina de Tramitación DNI y Pasaporte (Ciudad Lineal),Instalaciones accesibles NO municipales,Travesia Virgen De La Roca 25 Posterior,102.69,189 - Avenida Donostiarra,Calle Virgen de la Alegría nº 18
Comisaría de Policía y Oficina de Tramitación DNI y Pasaporte (Fuencarral - El Pardo),Instalaciones accesibles NO municipales,Calle Mirador De La Reina 4,4039.41,239 - Francos Rodríguez,Calle Francos Rodríguez nº 62
Comisaría de Policía y Oficina de Tramitación DNI y Pasaporte (Hortaleza),Instalaciones accesibles NO municipales,Calle Javier Del Quinto,2857.73,230 - Carlota O’Neill,Calle Carlota O'Neill nº 32
Comisaría de Policía y Oficina de Tramitación DNI y Pasaporte (Latina),Instalaciones accesibles NO municipales,Avenida Poblados 51,4397.52,224 - Caramuel,Calle Caramuel nº 51
Comisaría de Policía y Oficina de Tramitación DNI y Pasaporte (San Blas - Canillejas),Instalaciones accesibles NO municipales,Calle Alberique 20,2798.54,215 - Gutierre de Cetina,Calle Gutierre de Cetina nº 77
Comisaría de Policía y Oficina de Tramitación del DNI y Pasaporte (Usera-Villaverde 2),Instalaciones accesibles NO municipales,Calle Primitiva Gañan 6,1367.64,213 - Glorieta de Cádiz,Calle Antonio López nº 129
Complejo Deportivo Hockey Somontes de la Comunidad de Madrid,Instalaciones accesibles NO municipales,Carretera El Pardo 41,4839.27,261 - Facultad Derecho,Avenida Complutense nº 23
Comunidad de Madrid. Oficina de atención al ciudadano y oficina general de asistencia en materia de registro,Instalaciones accesibles NO municipales,Calle Gran Via 3,123.43,28 - Sevilla,Calle Alcalá nº 27
Congreso de los Diputados,Instalaciones accesibles NO municipales,Plaza Cortes 1,106.84,29 - Marqués de Cubas,Calle del Marqués de Cubas nº 25
Consorcio Regional de Transportes Públicos Regulares de Madrid,Instalaciones accesibles NO municipales,Plaza Descubridor Diego De Ordas 3 Planta Baja,187.38,130 - Santa Engracia 127,Calle Santa Engracia nº 127
Círculo de Empresarios,Instalaciones accesibles NO municipales,Calle Marques De Villamagna 3 Planta 11,175.82,103 - Ortega y Gasset,Calle José Ortega y Gasset nº 4
