Place of interest,Type of place,Place address,Distance from station in mts,BiciMAD station,BiciMAD address
Oficina de Correos. Sucursal 49. Calle Condesa Vega del Pozo,Instalaciones accesibles NO municipales,Calle Condesa Vega Del Pozo 29 Y 31,3188.8,221 - Pavones,Calle Hacienda de Pavones nº 342
Oficina de Correos. Sucursal 50. Avenida Padre Piquer,Instalaciones accesibles NO municipales,Avenida Padre Piquer 13,4647.5,224 - Caramuel,Calle Caramuel nº 51
Oficina de Correos. Sucursal 51. Calle Virgen de Aránzazu,Instalaciones accesibles NO municipales,Calle Virgen De Aranzazu 31,686.55,217 - Pedro Rico,Calle Pedro Rico nº 4
Oficina de Correos. Sucursal 52. Calle Monte Olivetti,Instalaciones accesibles NO municipales,Calle Monte Oliveti 29,306.25,179 - Puente de Vallecas,Avenida de la Albufera nº 6
Oficina de Correos. Sucursal 53. Calle Conde de Peñalver,Instalaciones accesibles NO municipales,Calle Conde De Peñalver 19 Bis,96.44,89 - Conde Peñalver,Calle Ayala nº 102
Oficina de Correos. Sucursal 54. Calle Cardenal Herrera Oria,Instalaciones accesibles NO municipales,Avenida Cardenal Herrera Oria 241,3026.74,239 - Francos Rodríguez,Calle Francos Rodríguez nº 62
Oficina de Correos. Sucursal 56. Calle Carlina,Instalaciones accesibles NO municipales,Calle Carlina 8,2582.52,224 - Caramuel,Calle Caramuel nº 51
Oficina de Correos. Sucursal 57. Plaza Movimiento Ciudadano,Instalaciones accesibles NO municipales,Plaza Movimiento Ciudadano 1,2237.01,213 - Glorieta de Cádiz,Calle Antonio López nº 129
Oficina de Correos. Sucursal 58. Universidad Autónoma Cantoblanco,Instalaciones accesibles NO municipales,Calle Kant  Sin Número,7119.62,217 - Pedro Rico,Calle Pedro Rico nº 4
Oficina de Correos. Sucursal 59. Calle Alanis,Instalaciones accesibles NO municipales,Calle Alanis 1,7952.87,215 - Gutierre de Cetina,Calle Gutierre de Cetina nº 77
Oficina de Correos. Sucursal 60. Calle Arquitecto López Otero,Instalaciones accesibles NO municipales,Calle Arquitecto Lopez Otero 3,153.33,258 - Ciudad Universitaria 1,Avenida de la Complutense (Metro Ciudad Universitaria)
Oficina de Correos. Sucursal 61. Camino Hormigueras,Instalaciones accesibles NO municipales,Camino Hormigueras 169,2597.53,221 - Pavones,Calle Hacienda de Pavones nº 342
Oficina de Correos. Sucursal 62. Calle La Rioja. Alameda de Osuna,Instalaciones accesibles NO municipales,Calle La Rioja 11,6564.24,215 - Gutierre de Cetina,Calle Gutierre de Cetina nº 77
Oficina de Correos. Sucursal 64. Aeropuerto T1. Llegadas Sala 1,Instalaciones accesibles NO municipales,Aeropuerto T1 T2 T3  Sala 1 (Llegadas),8744.57,215 - Gutierre de Cetina,Calle Gutierre de Cetina nº 77
Oficina de Correos. Sucursal 66. Plaza Pablo Ruiz Picasso,Instalaciones accesibles NO municipales,Plaza Pablo Ruiz Picasso 1,239.79,153 - General Perón con Poeta Joan Maragall,Avenida del General Perón frente al nº 36
Oficina de Correos. Sucursal 72. Calle Santiago Alio,Instalaciones accesibles NO municipales,Calle Santiago Alio 10 A,1848.13,221 - Pavones,Calle Hacienda de Pavones nº 342
Oficina de Correos. Sucursal 77. Calle Eduardo Barreiros,Instalaciones accesibles NO municipales,Calle Eduardo Barreiros 3 Y 5,1816.23,213 - Glorieta de Cádiz,Calle Antonio López nº 129
Oficina de Correos. Sucursal 78. Centro Comercial Valdebernardo,Instalaciones accesibles NO municipales,Bulevar Jose Prat 35,1801.74,221 - Pavones,Calle Hacienda de Pavones nº 342
Oficina de Correos. Sucursal 82. Avenida Santuario de Valverde,Instalaciones accesibles NO municipales,Avenida Santuario De Valverde 45,3123.81,217 - Pedro Rico,Calle Pedro Rico nº 4
Oficina de Correos. Sucursal 88. Calle Mejía Lequerica,Instalaciones accesibles NO municipales,Calle Mejia Lequerica 7,160.7,7 - Hortaleza,Calle Hortaleza nº 75
Oficina de Correos. Sucursal 92. Eroski Avenida Pablo Neruda,Instalaciones accesibles NO municipales,Avenida Pablo Neruda 91,1492.36,227 - Concordia,Calle Arroyo del Olivar nº 6
