,Place of interest,Type of place,Place address,Distance from station in mts,BiciMAD station,BiciMAD address
100,Colegio Mayor Alcor,Instalaciones accesibles NO municipales,Calle General Ampudia 7,188.06,203 - San Francisco de Sales,Calle General Ampudia nº 2
101,Colegio Mayor Aquinas (Santo Tomás de Aquino),Instalaciones accesibles NO municipales,Calle Leonardo Prieto Castro 6,735.77,260 - Facultad Biología,Calle José Antonio Novais frente al nº 12
102,Colegio Mayor Chaminade,Instalaciones accesibles NO municipales,Paseo Juan Xxiii 9,446.99,256 - Reina Victoria,Calle Beatriz de Bobadilla frente al nº 2
103,Colegio Mayor Fundación SEPI,Instalaciones accesibles NO municipales,Avenida Gregorio Del Amo 2,560.42,256 - Reina Victoria,Calle Beatriz de Bobadilla frente al nº 2
104,Colegio Mayor Juan Luis Vives,Instalaciones accesibles NO municipales,Calle Francisco Suarez 7,168.56,255 - López Pozas,Calle General López Pozas nº 2
105,Colegio Mayor Juan XXIII Roncalli,Instalaciones accesibles NO municipales,Calle Ramiro De Maeztu 3,556.7,256 - Reina Victoria,Calle Beatriz de Bobadilla frente al nº 2
106,Colegio Mayor Loyola,Instalaciones accesibles NO municipales,Paseo Juan Xxiii 17,442.52,256 - Reina Victoria,Calle Beatriz de Bobadilla frente al nº 2
107,Colegio Mayor Marqués de la Ensenada,Instalaciones accesibles NO municipales,Avenida Seneca 18,641.92,257 - INEF,Avenida Juan de Herrera frente a la calle Paul Guinard
108,Colegio Mayor Nuestra Señora de Guadalupe,Instalaciones accesibles NO municipales,Avenida Seneca 4,454.22,112 - Paseo de Moret,Paseo de Moret nº 11
109,Colegio Mayor Nuestra Señora de África,Instalaciones accesibles NO municipales,Calle Ramiro De Maeztu 8,617.95,260 - Facultad Biología,Calle José Antonio Novais frente al nº 12
110,Colegio Mayor Padre Poveda,Instalaciones accesibles NO municipales,Calle Isaac Peral 60,364.49,244 - Hospital Clínico,Calle Isaac Peral nº 44
111,Colegio Mayor Santa María del Pino,Instalaciones accesibles NO municipales,Paseo San Francisco De Sales 13,153.49,244 - Hospital Clínico,Calle Isaac Peral nº 44
112,Colegio Mayor Santa Teresa de Jesús,Instalaciones accesibles NO municipales,Avenida Seneca 12,421.3,257 - INEF,Avenida Juan de Herrera frente a la calle Paul Guinard
113,Colegio Mayor Universitario San Agustín,Instalaciones accesibles NO municipales,Travesia Antonio Nebrija 4,362.8,257 - INEF,Avenida Juan de Herrera frente a la calle Paul Guinard
114,Colegio Mayor Universitario San Pablo,Instalaciones accesibles NO municipales,Calle Isaac Peral 58,263.9,244 - Hospital Clínico,Calle Isaac Peral nº 44
115,Colegio Mayor Vedruna,Instalaciones accesibles NO municipales,Glorieta Presidente Garcia Moreno 2,154.18,256 - Reina Victoria,Calle Beatriz de Bobadilla frente al nº 2
116,Colegio Mayor África,Instalaciones accesibles NO municipales,Calle Ramiro De Maeztu 2,487.77,256 - Reina Victoria,Calle Beatriz de Bobadilla frente al nº 2
117,Colegio Oficial de Arquitectos de Madrid (COAM),Instalaciones accesibles NO municipales,Calle Hortaleza 63,8.89,6 - Colegio Arquitectos,Calle Hortaleza nº 63
118,Colegio Patrocinio de San José,Instalaciones accesibles NO municipales,Calle Edgar Neville 24,200.46,151 - Orense 12,Calle Orense nº 12
119,Colegio Público Arquitecto Gaudí,Instalaciones accesibles NO municipales,Calle Rosa Jardon 10,1057.17,254 - Pío XII,Avenida Pío XII nº 3
120,Colegio Público Ciudad de Jaén,Instalaciones accesibles NO municipales,Calle Madre Rosa Blanco 3,1825.21,213 - Glorieta de Cádiz,Calle Antonio López nº 129
121,Colegio Público Escuelas Bosque,Instalaciones accesibles NO municipales,Avenida Santo Angel De La Guarda 4,564.58,239 - Francos Rodríguez,Calle Francos Rodríguez nº 62
122,Colegio Público Felipe II,Instalaciones accesibles NO municipales,Avenida Asturias 70,1122.21,207 - Remonta,Calle Azucenas nº 1
123,Colegio Público Fernando el Católico,Instalaciones accesibles NO municipales,Calle Fernando El Catolico 16,147.74,127 - Fernando el Católico,Calle Fernando el Católico nº 19
124,Colegio Público Fontarrón,Instalaciones accesibles NO municipales,Calle Arroyo Fontarron 24,595.71,221 - Pavones,Calle Hacienda de Pavones nº 342
125,Colegio Público Isabel la Católica,Instalaciones accesibles NO municipales,Calle Barcelo 2,78.22,54 - Barceló,Calle Barceló nº 7
126,Colegio Público Jorge Guillén,Instalaciones accesibles NO municipales,Avenida El Ferrol 47,1791.63,207 - Remonta,Calle Azucenas nº 1
127,Colegio Público Legado Crespo,Instalaciones accesibles NO municipales,Paseo Acacias 2,121.57,47 - Embajadores 1,Glorieta de Embajadores nº 6
128,Colegio Público Leopoldo Alas,Instalaciones accesibles NO municipales,Calle Pedrezuela 18,350.8,234 - Marqués de Corbera 52,Avenida Marqués de Corbera nº 52
129,Colegio Público Loyola de Palacio,Instalaciones accesibles NO municipales,Calle Embalse De Navacerrada 60,5983.5,221 - Pavones,Calle Hacienda de Pavones nº 342
