,Place of interest,Type of place,Place address,Distance from station in mts,BiciMAD station,BiciMAD address
323,Oficina de Empleo Aluche,Instalaciones accesibles NO municipales,Calle Illescas 189,3409.88,224 - Caramuel,Calle Caramuel nº 51
324,Oficina de Empleo Argüelles,Instalaciones accesibles NO municipales,Calle Evaristo San Miguel 8,215.32,14 - Ventura Rodríguez,Calle Duque de Liria
325,Oficina de Empleo Atocha,Instalaciones accesibles NO municipales,Calle Mendez Alvaro 7,26.88,119 - Méndez Álvaro,Calle Méndez Álvaro nº 11
326,Oficina de Empleo Barrio de la Concepción,Instalaciones accesibles NO municipales,Calle Virgen Del Puig 5,204.18,188 - Puente de Ventas,Avenida de Daroca nº 2
327,Oficina de Empleo Barrio del Pilar,Instalaciones accesibles NO municipales,Camino Ganapanes 33,2230.0,239 - Francos Rodríguez,Calle Francos Rodríguez nº 62
328,Oficina de Empleo Ciudad Lineal,Instalaciones accesibles NO municipales,Calle Miguel Yuste 21,2113.21,215 - Gutierre de Cetina,Calle Gutierre de Cetina nº 77
329,Oficina de Empleo Estrecho - Azca,Instalaciones accesibles NO municipales,Plaza Pablo Ruiz Picasso  Edificio Serantes,220.93,153 - General Perón con Poeta Joan Maragall,Avenida del General Perón frente al nº 36
330,Oficina de Empleo Goya,Instalaciones accesibles NO municipales,Calle O'Donnell 12,233.55,85 - Puerta de Madrid,Avenida de Menéndez Pelayo esquina calle O'Donnell
331,Oficina de Empleo Legazpi,Instalaciones accesibles NO municipales,Paseo Acacias 23,65.53,163 - Paseo de la Esperanza,Paseo de la Esperanza nº 2
332,Oficina de Empleo Moratalaz,Instalaciones accesibles NO municipales,Calle Hacienda De Pavones 350,154.99,221 - Pavones,Calle Hacienda de Pavones nº 342
333,Oficina de Empleo Nueva Numancia,Instalaciones accesibles NO municipales,Calle Francisco Iglesias 9,322.65,179 - Puente de Vallecas,Avenida de la Albufera nº 6
334,Oficina de Empleo Prosperidad,Instalaciones accesibles NO municipales,Calle Canillas 104,167.36,251 - Corazón de María,Calle Santa Hortensia nº 31
335,Oficina de Empleo Puerta del Angel,Instalaciones accesibles NO municipales,Glorieta Puente De Segovia 3,426.35,216 - Puerta del Ángel,Plaza Puerta del Ángel nº 4
336,Oficina de Empleo San Isidro,Instalaciones accesibles NO municipales,Calle Tejares 4,600.56,212 - Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9
337,Oficina de Empleo Sanchinarro,Instalaciones accesibles NO municipales,Avenida Ingeniero Emilio Herrera 23,3886.91,249 - Manuel Caldeiro,Paseo de la Castellana nº 298
338,Oficina de Empleo Santa Eugenia,Instalaciones accesibles NO municipales,Calle Cabeza Mesada 5,2700.12,221 - Pavones,Calle Hacienda de Pavones nº 342
339,Oficina de Empleo Usera,Instalaciones accesibles NO municipales,Calle Antonio Lopez 101,101.97,222 - Antonio López,Calle Eugenio Caxes frente al nº 12
340,Oficina de Empleo Villaverde,Instalaciones accesibles NO municipales,Calle Salsipuedes 7,4984.91,213 - Glorieta de Cádiz,Calle Antonio López nº 129
341,Oficina de Empleo Águeda Díez,Instalaciones accesibles NO municipales,Plaza Agueda Diez 4,1965.36,212 - Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9
342,Oficina de Tramitación de DNI y Pasaporte (Usera-Villaverde 1),Instalaciones accesibles NO municipales,Paseo Gigantes Y Cabezudos 30,3549.27,235 - Embajadores 191,Calle Sodio nº 1B
343,Oficina de Tramitación del DNI y Pasaporte (Arganzuela),Instalaciones accesibles NO municipales,Paseo Virgen Del Puerto 47,451.28,236 - Paseo Imperial,Paseo Imperial nº 20
344,Oficina de Tramitación del DNI y Pasaporte (Centro),Instalaciones accesibles NO municipales,Calle Luna 17,75.41,16 - San Bernardo,Calle San Bernardo nº 22
345,Oficina de Tramitación del DNI y Pasaporte (Puente de Vallecas),Instalaciones accesibles NO municipales,Calle Sierra Carbonera 35,290.95,227 - Concordia,Calle Arroyo del Olivar nº 6
346,Oficina de Tramitación del DNI y Pasaporte (Santa Engracia),Instalaciones accesibles NO municipales,Calle Santa Engracia 18,91.42,122 - Santa Engracia 14,Calle Santa Engracia nº 14
347,Oficina de Tramitación del DNI y Pasaporte (Tetuán),Instalaciones accesibles NO municipales,Calle Santa Valentina 2,245.65,207 - Remonta,Calle Azucenas nº 1
348,Oficina de Tramitación del DNI y Pasaporte Doce de Octubre,Instalaciones accesibles NO municipales,Calle Doce De Octubre 7,132.92,70 - Puerta del Doce de Octubre,Avenida de Menéndez Pelayo nº 63
349,Oficina de Tramitación del DNI y Pasaporte Padre Piquer,Instalaciones accesibles NO municipales,Avenida Padre Piquer 18,4753.53,224 - Caramuel,Calle Caramuel nº 51
350,Oficina de Tramitación del DNI y Pasaporte San Felipe,Instalaciones accesibles NO municipales,Calle San Felipe 7,173.92,207 - Remonta,Calle Azucenas nº 1
351,Palacio Real de El Pardo,Instalaciones accesibles NO municipales,Calle Manuel Alonso 8,9332.03,261 - Facultad Derecho,Avenida Complutense nº 23
352,Palacio Real de Madrid,Instalaciones accesibles NO municipales,Calle Bailen,217.4,30 - San Quintín,Calle Pavía nº 6
353,Palacio de Congresos de Madrid,Instalaciones accesibles NO municipales,Paseo Castellana 99,190.3,153 - General Perón con Poeta Joan Maragall,Avenida del General Perón frente al nº 36
354,Palacio de Cristal,Instalaciones accesibles NO municipales,Paseo Republica De Cuba 4,523.53,70 - Puerta del Doce de Octubre,Avenida de Menéndez Pelayo nº 63
355,Palacio de Liria,Instalaciones accesibles NO municipales,Calle Princesa 20,125.14,14 - Ventura Rodríguez,Calle Duque de Liria
356,Palacio de Velázquez,Instalaciones accesibles NO municipales,Paseo Venezuela 2,458.26,70 - Puerta del Doce de Octubre,Avenida de Menéndez Pelayo nº 63
357,Panteón de España,Instalaciones accesibles NO municipales,Calle Julian Gayarre 3,358.32,79 - Puerta de Granada,Avenida de Menéndez Pelayo nº 38
358,Parque Biológico de Madrid. Faunia,Instalaciones accesibles NO municipales,Avenida Comunidades 2,2700.73,221 - Pavones,Calle Hacienda de Pavones nº 342
359,Parque Deportivo Puerta de Hierro,Instalaciones accesibles NO municipales,Carretera De La Coruña  Kilómetro 7,2641.9,261 - Facultad Derecho,Avenida Complutense nº 23
360,Parroquia San Jenaro,Instalaciones accesibles NO municipales,Calle Vital Aza 81,588.31,215 - Gutierre de Cetina,Calle Gutierre de Cetina nº 77
361,Parroquia Santa Eulalia de Mérida,Instalaciones accesibles NO municipales,Calle Pedroches 5,1636.73,227 - Concordia,Calle Arroyo del Olivar nº 6
362,Parroquia Santos Inocentes,Instalaciones accesibles NO municipales,Calle Embajadores 209,238.43,235 - Embajadores 191,Calle Sodio nº 1B
363,Parroquia Santísima Trinidad,Instalaciones accesibles NO municipales,Calle Martinez Villergas 8,397.84,231 - Derechos Humanos,Calle Derechos Humanos nº 12
364,Plaza de Misterios. Recinto Ferial.,Instalaciones accesibles NO municipales,Calle Misterios 1,966.64,215 - Gutierre de Cetina,Calle Gutierre de Cetina nº 77
365,Real Basílica San Francisco el Grande,Instalaciones accesibles NO municipales,Calle San Buenaventura 1,42.71,37 - Plaza de San Francisco,Plaza de San Francisco nº 5
366,Residencia Mirasierra para personas con discapacidad intelectual gravemente afectadas y centro de día CAMP Mirasierra,Instalaciones accesibles NO municipales,Calle La Maso 40,2997.67,217 - Pedro Rico,Calle Pedro Rico nº 4
367,Residencia Universitaria Augustinus Nebrija,Instalaciones accesibles NO municipales,Calle Cea Bermudez 59,12.55,128 - Cea Bermúdez,Calle Cea Bermúdez nº 59
368,Residencia Universitaria Erasmo,Instalaciones accesibles NO municipales,Calle Erasmo De Rotterdam 5 Y 7,7544.01,217 - Pedro Rico,Calle Pedro Rico nº 4
369,Residencia de Estudiantes Ciudad Escolar. Comunidad de Madrid.,Instalaciones accesibles NO municipales,"Carretera Colmenar Viejo  Km. 12,800",4916.69,217 - Pedro Rico,Calle Pedro Rico nº 4
370,Residencia de estudiantes Palacio de Barradas,Instalaciones accesibles NO municipales,Calle San Bernardo 63,63.14,15 - San Vicente Ferrer,Calle San Vicente Ferrer nº 64
371,Residencia para mayores Juan XXIII (Aravaca),Instalaciones accesibles NO municipales,Calle Procion 10,8114.0,261 - Facultad Derecho,Avenida Complutense nº 23
372,Residencia para mayores y centro de día Peñuelas,Instalaciones accesibles NO municipales,Calle Arganda 11,250.64,170 - Paseo de la Esperanza,Paseo de la Esperanza nº 21
373,Residencia para personas con discapacidad intelectual gravemente afectadas y centro de día Dos de Mayo,Instalaciones accesibles NO municipales,Calle Oña 1,2072.0,249 - Manuel Caldeiro,Paseo de la Castellana nº 298
374,Residencia y centro de día Carmen Sevilla,Instalaciones accesibles NO municipales,Calle Gabriel Montero 1,1247.49,215 - Gutierre de Cetina,Calle Gutierre de Cetina nº 77
375,Residencia y centro de rehabilitación Duques de Lugo,Instalaciones accesibles NO municipales,Calle Adonis 1,5648.72,224 - Caramuel,Calle Caramuel nº 51
376,"Residencia, centro de día y centro ocupacional Götze",Instalaciones accesibles NO municipales,Carretera Castilla 5,3731.6,261 - Facultad Derecho,Avenida Complutense nº 23
377,"Residencia, centro de día y centro ocupacional Ángel de la Guarda",Instalaciones accesibles NO municipales,Avenida Daroca 60,376.45,234 - Marqués de Corbera 52,Avenida Marqués de Corbera nº 52
378,Sala Alcalá 31,Instalaciones accesibles NO municipales,Calle Alcala 31,36.25,28 - Sevilla,Calle Alcalá nº 27
379,Sala El Águila,Instalaciones accesibles NO municipales,Calle Ramirez De Prado 3,222.52,118 - Juan Martín,Calle Juan Martín el Empecinado nº 16
380,Sala de Arte Joven,Instalaciones accesibles NO municipales,Avenida America 13,130.12,195 - Avenida de América 1,Calle Padre Indalecio Hernández nº 1
381,Sala de exposiciones Fundación Canal (Castellana 214),Instalaciones accesibles NO municipales,Paseo Castellana 214,127.62,209 - Plaza de Castilla 2,Paseo Castellana (Fundación Canal)
382,"Sala de exposiciones Fundación Canal (Mateo Inurria, 2)",Instalaciones accesibles NO municipales,Calle Mateo Inurria 2,114.47,208 - Plaza de Castilla,Paseo de la Castellana nº 216
383,Sala de exposiciones Fundación MAPFRE Recoletos,Instalaciones accesibles NO municipales,Paseo Recoletos 23,172.16,94 - Biblioteca Nacional,Paseo de Recoletos nº 20
384,Sede QuedaT.com Arganzuela,Instalaciones accesibles NO municipales,Calle Juana Doña 7,211.49,164 - Paseo de las Delicias,Paseo de las Delicias nº 92
385,Sede QuedaT.com Barajas,Instalaciones accesibles NO municipales,Calle Autogiro 1,7920.14,215 - Gutierre de Cetina,Calle Gutierre de Cetina nº 77
386,Sede QuedaT.com Carabanchel,Instalaciones accesibles NO municipales,Calle Ramon Sainz 27,2633.55,223 - Ermita Santo,Paseo de la Ermita del Santo nº 48
387,Sede QuedaT.com Centro,Instalaciones accesibles NO municipales,Calle Juanelo 2,209.91,44 - Plaza de Nelson Mandela,Calle Mesón de Paredes nº 35
388,Sede QuedaT.com Chamartín,Instalaciones accesibles NO municipales,Pasaje Doña Carlota 13,579.58,251 - Corazón de María,Calle Santa Hortensia nº 31
389,Sede QuedaT.com Fuencarral-El Pardo (Centro Comunitario Guatemala),Instalaciones accesibles NO municipales,Calle Celanova 2,1819.54,239 - Francos Rodríguez,Calle Francos Rodríguez nº 62
390,Sede QuedaT.com Hortaleza,Instalaciones accesibles NO municipales,Calle Mar Amarillo 4,3471.39,230 - Carlota O’Neill,Calle Carlota O'Neill nº 32
391,Sede QuedaT.com Latina,Instalaciones accesibles NO municipales,Calle La Latina 25,2688.19,224 - Caramuel,Calle Caramuel nº 51
392,Sede QuedaT.com Moratalaz,Instalaciones accesibles NO municipales,Calle Corregidor Alonso De Tobar 15,404.48,220 - Plaza del Encuentro,Calle Arroyo de las Pilillas nº 6
393,Sede QuedaT.com Puente de Vallecas,Instalaciones accesibles NO municipales,Calle Cardeñosa 18,1222.54,180 - Méndez Álvaro,Calle Retama nº 5
394,Sede QuedaT.com San Blas-Canillejas,Instalaciones accesibles NO municipales,Calle San Faustino 14,4008.62,215 - Gutierre de Cetina,Calle Gutierre de Cetina nº 77
395,Sede QuedaT.com Tetuán,Instalaciones accesibles NO municipales,Calle Cedros 3,461.3,208 - Plaza de Castilla,Paseo de la Castellana nº 216
396,Sede QuedaT.com Usera,Instalaciones accesibles NO municipales,Calle Miramadrid 1,1044.11,213 - Glorieta de Cádiz,Calle Antonio López nº 129
397,Sede QuedaT.com Vicálvaro,Instalaciones accesibles NO municipales,Plaza Juan Benet 9,1242.54,221 - Pavones,Calle Hacienda de Pavones nº 342
398,Sede QuedaT.com Villa de Vallecas,Instalaciones accesibles NO municipales,Calle Sierra Gador 19,2496.68,221 - Pavones,Calle Hacienda de Pavones nº 342
399,Sede QuedaT.com Villaverde,Instalaciones accesibles NO municipales,Calle Albino Hernández Lázaro 36,5224.14,235 - Embajadores 191,Calle Sodio nº 1B
400,Servicio de Documentación y Biblioteca de la Asamblea de Madrid,Instalaciones accesibles NO municipales,Plaza Asamblea De Madrid 1,1310.65,227 - Concordia,Calle Arroyo del Olivar nº 6
401,Servicios centrales. Servicio Público de Empleo Estatal,Instalaciones accesibles NO municipales,Calle Victor De La Serna 43,475.37,160 - Colombia,Calle Colombia nº 7
402,Tanatorio Parque de San Isidro de Madrid,Instalaciones accesibles NO municipales,Calle Comuneros De Castilla 15,724.79,212 - Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9
403,Tanatorio Sur de Madrid,Instalaciones accesibles NO municipales,Calle Ildefonso Gonzalez Valencia 1,2798.02,228 - San Delfín,Calle San Delfín nº 9
404,Teatro Municipal de Títeres. Parque de El Retiro,Instalaciones accesibles NO municipales,Avenida México 4 Parque De El Retiro. Entrada Por Puerta De La Independencia,222.61,60 - Plaza de la Independencia,Plaza de la Independencia nº 6
405,Teatros del Canal,Instalaciones accesibles NO municipales,Calle Cea Bermudez 1,137.49,201 - Canal,Calle José Abascal frente al nº 2
406,WiZink Center,Instalaciones accesibles NO municipales,Calle Jorge Juan 99,222.41,62 - O'Donnell,Calle O'Donnell nº 50
407,Yacimiento paleontológico. Estación de Metro Carpetana,Instalaciones accesibles NO municipales,Calle Via Carpetana 141,2332.78,224 - Caramuel,Calle Caramuel nº 51
