,Place of interest,Postal code,Place address,place_lat,place_long
173,Estación Sur de Autobuses de Madrid,28045,Calle Mendez Alvaro 83,40.39483972375301,-3.679069176819924
174,Estación ferroviaria Madrid - Chamartín - Clara Campoamor,28036,Calle Agustin De Foxa,40.472098,-3.68233
175,Estación ferroviaria Madrid Puerta de Atocha,28012,Plaza Emperador Carlos V,40.406397,-3.690387
176,Fuente de San Isidro,28019,Paseo Ermita Del Santo 72,40.40061741587043,-3.725670113017977
177,"Fundación Síndrome de Down, centro ocupacional Tres olivos",28034,Calle Cueva De Montesinos 45,40.499795345175585,-3.6921978697844042
178,Galería de Arte Orfila,28010,Calle Orfila 3,40.427435513699784,-3.6931973836979677
179,Hipódromo de la Zarzuela,28040,Avenida Padre Huidobro  S/N Carretera De La Coruña Km. 8,40.46689757043024,-3.758287811881799
180,Instalación Deportiva Canal de Isabel II,28003,Avenida Filipinas 54,40.44165486323624,-3.705163977451455
181,Instalación Deportiva San Vicente de Paúl,28025,Calle Pelicano 4,40.38368290304945,-3.7258674678514305
182,Instalación deportiva para mayores Concepción Arenal,28043,Calle Javier Del Quinto 12 Está Ubicado Dentro Del Centro De Servicios Sociales “Concepción Arenal”,40.46656244589171,-3.6421934745321303
183,Instituto de Educación Secundaria (IES) Antonio Domínguez Ortiz,28038,Calle Andaluces 36,40.38905798476675,-3.635474656654837
184,Instituto de Educación Secundaria (IES) Antonio Machado,28044,Calle Alfonso Fernandez 25,40.366615432961616,-3.755460567687772
185,Instituto de Educación Secundaria (IES) Avenida de los Toreros,28028,Avenida Toreros 57,40.43346107006072,-3.664777722452951
186,Instituto de Educación Secundaria (IES) Barajas,28042,Avenida America 119,40.45054903333012,-3.5992596959233034
187,Instituto de Educación Secundaria (IES) Barrio de Bilbao,28017,Calle Villaescusa 20,40.42103061653263,-3.6306477550339884
188,Instituto de Educación Secundaria (IES) Celestino Mutis,28021,Calle Huerta De Villaverde 15,40.34830726550713,-3.7131487809799326
189,Instituto de Educación Secundaria (IES) Ciudad Escolar,28049,Carretera Colmenar Viejo 12.800,40.528563960264655,-3.691273586506093
190,Instituto de Educación Secundaria (IES) Ciudad de Jaén,28041,Camino Rio 5,40.37164844454447,-3.700119741623105
191,Instituto de Educación Secundaria (IES) Conde de Orgaz,28043,Calle Napoles 56,40.460004213737875,-3.646852131012146
192,Instituto de Educación Secundaria (IES) Eijo y Garay,28011,Calle Severino Aznar Embid 6,40.407648723183506,-3.737793320457927
193,Instituto de Educación Secundaria (IES) Fortuny,28010,Calle Fortuny 24,40.43371855186591,-3.690022497468036
194,Instituto de Educación Secundaria (IES) Francisco Ayala,28054,Calle Jacobeo 33,40.36572364957523,-3.760939176805745
195,Instituto de Educación Secundaria (IES) García Morato,28044,Calle General Saliquet 34,40.37427307778163,-3.767785010967584
196,Instituto de Educación Secundaria (IES) Gregorio Marañón,28029,Avenida El Ferrol 43,40.47430854434283,-3.7101034755708167
197,Instituto de Educación Secundaria (IES) Isaac Newton,28035,Calle Joaquin Lorenzo 2,40.473031533383455,-3.722818756983547
198,Instituto de Educación Secundaria (IES) Iturralde,28047,Calle Nuestra Señora De La Luz 53,40.386012038462624,-3.751306277710789
199,Instituto de Educación Secundaria (IES) Joaquín Rodrigo,28032,Calle Casalarreina 28,40.40897549865364,-3.6140942577626016
200,Instituto de Educación Secundaria (IES) Juana de Castilla,28030,Calle Valdebernardo 3,40.39843146459067,-3.63309996975464
201,Instituto de Educación Secundaria (IES) Manuel Fraga Iribarne,28050,Avenida Niceto Alcala Zamora 54,40.4994968321812,-3.6569084959295886
