Place of interest,Type of place,Place address,Distance from parking in mts,BiciPARK station,BiciPARK address,Spots available
Colegio Público Leopoldo Alas,Instalaciones accesibles NO municipales,Calle Pedrezuela 18,15361.71,Bicipark Aviación,Parking Aviación Española,10
Colegio Público de Educación Especial María Soriano,Instalaciones accesibles NO municipales,Avenida Peseta 30,15380.68,Bicipark Pitis,"Calle Pau Arroyo del Fresno, 181",7
Aparcamiento público de Metro de Madrid. Miguel Hernández,Instalaciones accesibles NO municipales,Avenida Albufera 270,15385.05,Bicipark Pitis,"Calle Pau Arroyo del Fresno, 181",7
Instituto de Educación Secundaria (IES) Parque Aluche,Instalaciones accesibles NO municipales,Calle Maqueda 86,15389.66,Bicipark Fuente de la Mora,Estación de Fuente de la Mora,9
Oficina de Correos. Sucursal 50. Avenida Padre Piquer,Instalaciones accesibles NO municipales,Avenida Padre Piquer 13,15399.92,Bicipark Fuente de la Mora,Estación de Fuente de la Mora,9
Biblioteca Pública Miguel Hernández (Puente de Vallecas),Instalaciones accesibles NO municipales,Avenida Rafael Alberti 36,15413.35,Bicipark Pitis,"Calle Pau Arroyo del Fresno, 181",7
Colegio Público Pinar de San José,Instalaciones accesibles NO municipales,Calle Patrimonio De La Humanidad 39,15437.71,Bicipark Pitis,"Calle Pau Arroyo del Fresno, 181",7
Residencia para mayores Juan XXIII (Aravaca),Instalaciones accesibles NO municipales,Calle Procion 10,15442.14,Bicipark Fuente de la Mora,Estación de Fuente de la Mora,9
"APFMPS, Residencia, centro de día y centro ocupacional Instituto Doctor Quintero Lumbreras",Instalaciones accesibles NO municipales,Carretera Colmenar Viejo 13.6,15461.27,Bicipark Villa de Paris,"Calle de Orellana, 23, 21",8
Colegio Público Pinar de San José,Instalaciones accesibles NO municipales,Calle Patrimonio De La Humanidad 39,15464.82,Bicipark Recuerdo,"Calle Hiedra, 26",13
Colegio Ártica,Instalaciones accesibles NO municipales,Calle Morales 25,15465.65,Bicipark Pitis,"Calle Pau Arroyo del Fresno, 181",7
"Residencia, centro de día y centro ocupacional Ángel de la Guarda",Instalaciones accesibles NO municipales,Avenida Daroca 60,15493.85,Bicipark Aviación,Parking Aviación Española,10
Intercambiador de transporte. Aluche,Instalaciones accesibles NO municipales,Avenida Poblados 41,15506.81,Bicipark Fuente de la Mora,Estación de Fuente de la Mora,9
Comisaría de Policía y Oficina de Tramitación DNI y Pasaporte (Latina),Instalaciones accesibles NO municipales,Avenida Poblados 51,15516.59,Bicipark Fuente de la Mora,Estación de Fuente de la Mora,9
Instituto de Educación Secundaria (IES) Salvador Dalí,Instalaciones accesibles NO municipales,Calle Verdaguer Y Garcia 2,15518.03,Bicipark Aviación,Parking Aviación Española,10
Instituto de Educación Secundaria (IES) Valdebernardo,Instalaciones accesibles NO municipales,Bulevar Indalecio Prieto 1,15519.45,Bicipark Pitis,"Calle Pau Arroyo del Fresno, 181",7
"Oficina de Correos. Sucursal 102. Avenida Ensanche de Vallecas, 106-108",Instalaciones accesibles NO municipales,Avenida Ensanche De Vallecas 106,15519.45,Bicipark Recuerdo,"Calle Hiedra, 26",13
Instituto de Educación Secundaria (IES) Antonio Domínguez Ortiz,Instalaciones accesibles NO municipales,Calle Andaluces 36,15527.7,Bicipark Pitis,"Calle Pau Arroyo del Fresno, 181",7
Oficina de Tramitación del DNI y Pasaporte Padre Piquer,Instalaciones accesibles NO municipales,Avenida Padre Piquer 18,15530.98,Bicipark Fuente de la Mora,Estación de Fuente de la Mora,9
Sede QuedaT.com Vicálvaro,Instalaciones accesibles NO municipales,Plaza Juan Benet 9,15538.67,Bicipark Pitis,"Calle Pau Arroyo del Fresno, 181",7
Colegio Público Loyola de Palacio,Instalaciones accesibles NO municipales,Calle Embalse De Navacerrada 60,15576.13,Bicipark Fuente de la Mora,Estación de Fuente de la Mora,9
Oficina de Correos. Sucursal 51. Calle Virgen de Aránzazu,Instalaciones accesibles NO municipales,Calle Virgen De Aranzazu 31,15593.68,Bicipark Aviación,Parking Aviación Española,10
Biblioteca Pública Luis Rosales (Carabanchel),Instalaciones accesibles NO municipales,Calle Antonia Rodriguez Sacristan 7 Y 9,15598.32,Bicipark Fuente de la Mora,Estación de Fuente de la Mora,9
Comisaría de Policía y Oficina de Tramitación DNI y Pasaporte (Chamartín),Instalaciones accesibles NO municipales,Avenida Pio Xii 48,15604.92,Bicipark Aviación,Parking Aviación Española,10
Colegio Diocesano Cristo de la Guía,Instalaciones accesibles NO municipales,Calle Ezcaray 3,15646.71,Bicipark Pitis,"Calle Pau Arroyo del Fresno, 181",7
Instituto de Educación Secundaria (IES) Joaquín Rodrigo,Instalaciones accesibles NO municipales,Calle Casalarreina 28,15701.51,Bicipark Pitis,"Calle Pau Arroyo del Fresno, 181",7
Administración Suroeste. AEAT,Instalaciones accesibles NO municipales,Calle Aguacate 27,15704.07,Bicipark Fuente de la Mora,Estación de Fuente de la Mora,9
Biblioteca Pública Miguel Hernández (Puente de Vallecas),Instalaciones accesibles NO municipales,Avenida Rafael Alberti 36,15704.66,Bicipark Aviación,Parking Aviación Española,10
Colegio Público Arquitecto Gaudí,Instalaciones accesibles NO municipales,Calle Rosa Jardon 10,15706.38,Bicipark Aviación,Parking Aviación Española,10
"Oficina de Correos. Sucursal 102. Avenida Ensanche de Vallecas, 106-108",Instalaciones accesibles NO municipales,Avenida Ensanche De Vallecas 106,15706.89,Bicipark Fuente de la Mora,Estación de Fuente de la Mora,9
Centro de día y centro ocupacional para la atención al funcionamiento de personas con patología dual Pardo Valcarce,Instalaciones accesibles NO municipales,Calle Monasterio De Las Huelgas 15,15710.1,Bicipark Aviación,Parking Aviación Española,10
Oficina de Correos. Sucursal 62. Calle La Rioja. Alameda de Osuna,Instalaciones accesibles NO municipales,Calle La Rioja 11,15755.4,Bicipark Pitis,"Calle Pau Arroyo del Fresno, 181",7
Oficina de Tramitación de DNI y Pasaporte (Usera-Villaverde 1),Instalaciones accesibles NO municipales,Paseo Gigantes Y Cabezudos 30,15788.37,Bicipark Pitis,"Calle Pau Arroyo del Fresno, 181",7
Centro de Día Privado 'Muguet',Instalaciones accesibles NO municipales,Calle Muguet 7,15822.32,Bicipark Fuente de la Mora,Estación de Fuente de la Mora,9
Escuela Infantil Pequeño Koala,Instalaciones accesibles NO municipales,Camino Viejo De Vicalvaro 20,15874.64,Bicipark Pitis,"Calle Pau Arroyo del Fresno, 181",7
Centro de atención e información de la Agencia de la Seguridad Social (CAISS) nº 8 Villaverde,Instalaciones accesibles NO municipales,Avenida Real De Pinto 7 Y 9,15915.41,Bicipark Fuente de la Mora,Estación de Fuente de la Mora,9
Biblioteca Pública María Moliner (Villaverde),Instalaciones accesibles NO municipales,Calle Villalonso 16,15934.89,Bicipark Fuente de la Mora,Estación de Fuente de la Mora,9
Parroquia Santísima Trinidad,Instalaciones accesibles NO municipales,Calle Martinez Villergas 8,15953.92,Bicipark Aviación,Parking Aviación Española,10
Instituto de Educación Secundaria (IES) Villaverde,Instalaciones accesibles NO municipales,Calle Alianza 20,15962.85,Bicipark Pitis,"Calle Pau Arroyo del Fresno, 181",7
Sede QuedaT.com Barajas,Instalaciones accesibles NO municipales,Calle Autogiro 1,16004.91,Bicipark Pitis,"Calle Pau Arroyo del Fresno, 181",7
Aparcamiento público de Metro de Madrid. Miguel Hernández,Instalaciones accesibles NO municipales,Avenida Albufera 270,16035.52,Bicipark Aviación,Parking Aviación Española,10
Sede QuedaT.com Villaverde,Instalaciones accesibles NO municipales,Calle Albino Hernández Lázaro 36,16053.1,Bicipark Fuente de la Mora,Estación de Fuente de la Mora,9
Oficina de Correos. Sucursal 59. Calle Alanis,Instalaciones accesibles NO municipales,Calle Alanis 1,16057.55,Bicipark Pitis,"Calle Pau Arroyo del Fresno, 181",7
"APFMPS, Residencia, centro de día y centro ocupacional Instituto Doctor Quintero Lumbreras",Instalaciones accesibles NO municipales,Carretera Colmenar Viejo 13.6,16063.78,Bicipark Recoletos,"Paseo de Recoletos, 2",3
Oficina de Correos. Sucursal 41. Calle Sáhara,Instalaciones accesibles NO municipales,Calle Sahara 42 Y 44,16118.33,Bicipark Pitis,"Calle Pau Arroyo del Fresno, 181",7
Instituto de Educación Secundaria (IES) San Cristóbal de los Ángeles,Instalaciones accesibles NO municipales,Plaza Pinazo 7,16139.89,Bicipark Fuente de la Mora,Estación de Fuente de la Mora,9
Oficina de Correos. Sucursal 78. Centro Comercial Valdebernardo,Instalaciones accesibles NO municipales,Bulevar Jose Prat 35,16142.15,Bicipark Pitis,"Calle Pau Arroyo del Fresno, 181",7
Alicia Koplowitz Centro de día y centro residencial de Esclerosis Múltiple de la Comunidad de Madrid,Instalaciones accesibles NO municipales,Bulevar Jose Prat 40,16156.52,Bicipark Pitis,"Calle Pau Arroyo del Fresno, 181",7
Instituto de Educación Secundaria (IES) Celestino Mutis,Instalaciones accesibles NO municipales,Calle Huerta De Villaverde 15,16176.63,Bicipark Fuente de la Mora,Estación de Fuente de la Mora,9
Colegio Público Méjico (México),Instalaciones accesibles NO municipales,Avenida Badajoz 74,16259.0,Bicipark Aviación,Parking Aviación Española,10
Centro de Día Privado 'Trébol',Instalaciones accesibles NO municipales,Calle Palomares 71,16271.84,Bicipark Fuente de la Mora,Estación de Fuente de la Mora,9
Oficina de Empleo Villaverde,Instalaciones accesibles NO municipales,Calle Salsipuedes 7,16319.11,Bicipark Fuente de la Mora,Estación de Fuente de la Mora,9
