Place of interest,Type of place,Place address,Distance from parking in mts,BiciPARK station,BiciPARK address,Spots available
Centro de atención e información de la Agencia de la Seguridad Social (CAISS) nº 14 Maldonado,Instalaciones accesibles NO municipales,Calle Maldonado 2,1833.72,Bicipark Montalban,"Calle de Montalbán, 5",15
"Ministerio de Asuntos Exteriores, Unión Europea y Cooperación. Sede Palacio de Santa Cruz",Instalaciones accesibles NO municipales,Plaza Provincia 1,1834.76,Bicipark Villa de Paris,"Calle de Orellana, 23, 21",8
Consorcio Regional de Transportes Públicos Regulares de Madrid,Instalaciones accesibles NO municipales,Plaza Descubridor Diego De Ordas 3 Planta Baja,1837.04,Bicipark Villa de Paris,"Calle de Orellana, 23, 21",8
Casa de México,Instalaciones accesibles NO municipales,Calle Alberto Aguilera 20,1837.85,Bicipark Villa de Paris,"Calle de Orellana, 23, 21",8
Colegio Scuola Materna Italiana de Madrid,Instalaciones accesibles NO municipales,Calle Agustin De Betancourt 1,1838.67,Bicipark Villa de Paris,"Calle de Orellana, 23, 21",8
Palacio de Cristal,Instalaciones accesibles NO municipales,Paseo Republica De Cuba 4,1851.81,Bicipark Villa de Paris,"Calle de Orellana, 23, 21",8
"A (mas) ECU control urbanístico, S.L. Entidad Colaboradora",Instalaciones accesibles NO municipales,Calle Añastro 11 Planta Baja Puerta 10,1852.17,Bicipark Fuente de la Mora,Estación de Fuente de la Mora,9
Panteón de España,Instalaciones accesibles NO municipales,Calle Julian Gayarre 3,1855.81,Bicipark Recoletos,"Paseo de Recoletos, 2",3
Ministerio de Sanidad. Oficina de información,Instalaciones accesibles NO municipales,Paseo Prado 18 Planta Baja (Esquina Con Calle Lope De Vega) - 20,1856.81,Bicipark Almagro,"Calle Almagro, 11",12
Centro de donación de sangre de Cruz Roja Fin de Semana,Instalaciones accesibles NO municipales,Calle Fuencarral 120,1858.14,Bicipark Montalban,"Calle de Montalbán, 5",15
Administración María de Molina. AEAT,Instalaciones accesibles NO municipales,Calle Nuñez De Balboa 116,1859.24,Bicipark Villa de Paris,"Calle de Orellana, 23, 21",8
Instalación Deportiva Canal de Isabel II,Instalaciones accesibles NO municipales,Avenida Filipinas 54,1859.74,Bicipark Almagro,"Calle Almagro, 11",12
Casa de México,Instalaciones accesibles NO municipales,Calle Alberto Aguilera 20,1859.76,Bicipark Almagro,"Calle Almagro, 11",12
Biblioteca Pública José Luis Sampedro (Chamberí),Instalaciones accesibles NO municipales,Calle Felipe El Hermoso 4,1868.28,Bicipark Recoletos,"Paseo de Recoletos, 2",3
Oficina de Tramitación del DNI y Pasaporte (Centro),Instalaciones accesibles NO municipales,Calle Luna 17,1869.77,Bicipark Montalban,"Calle de Montalbán, 5",15
Centro de donación de sangre de Cruz Roja,Instalaciones accesibles NO municipales,Calle Juan Montalvo 3,1878.71,Bicipark Orense,"Avenida General Perón, 27",9
Intercambiador de transporte. Puerta del Sol,Instalaciones accesibles NO municipales,Intercambiador Puerta Del Sol,1879.91,Bicipark Almagro,"Calle Almagro, 11",12
Administración Montalbán. AEAT,Instalaciones accesibles NO municipales,Calle Montalban 6,1885.75,Bicipark Salamanca,Pl. del Marqués de Salamanca,1
Museo ABC,Instalaciones accesibles NO municipales,Calle Amaniel 29 -31,1887.27,Bicipark Almagro,"Calle Almagro, 11",12
Museo Nacional Centro de Arte Reina Sofía (MNCARS),Instalaciones accesibles NO municipales,Calle Santa Isabel 52,1889.05,Bicipark Villa de Paris,"Calle de Orellana, 23, 21",8
Museo de Historia de la Comunidad Judía de Madrid,Instalaciones accesibles NO municipales,Calle Balmes 3,1889.7,Bicipark Recoletos,"Paseo de Recoletos, 2",3
Palacio de Cristal,Instalaciones accesibles NO municipales,Paseo Republica De Cuba 4,1899.23,Bicipark Salamanca,Pl. del Marqués de Salamanca,1
Centro de Día Privado 'Sanivida Chamberí',Instalaciones accesibles NO municipales,Calle Palafox 17 Planta Bajo,1899.49,Bicipark Montalban,"Calle de Montalbán, 5",15
Oficina de Correos. Sucursal 19. Calle Chile,Instalaciones accesibles NO municipales,Calle Chile 4,1912.72,Bicipark Recuerdo,"Calle Hiedra, 26",13
Dirección General de Vivienda y Rehabilitación. Comunidad de Madrid,Instalaciones accesibles NO municipales,Calle Maudes 17,1913.33,Bicipark Almagro,"Calle Almagro, 11",12
Museo Los Caños del Peral. Estación de Metro Ópera,Instalaciones accesibles NO municipales,Plaza Isabel Ii 1,1913.58,Bicipark Recoletos,"Paseo de Recoletos, 2",3
Oficina de Empleo Atocha,Instalaciones accesibles NO municipales,Calle Mendez Alvaro 7,1915.27,Bicipark Montalban,"Calle de Montalbán, 5",15
Oficina de Tramitación del DNI y Pasaporte (Santa Engracia),Instalaciones accesibles NO municipales,Calle Santa Engracia 18,1917.86,Bicipark Salamanca,Pl. del Marqués de Salamanca,1
Teatros del Canal,Instalaciones accesibles NO municipales,Calle Cea Bermudez 1,1918.5,Bicipark Villa de Paris,"Calle de Orellana, 23, 21",8
Oficina de Empleo Prosperidad,Instalaciones accesibles NO municipales,Calle Canillas 104,1919.74,Bicipark Salamanca,Pl. del Marqués de Salamanca,1
Oficina de Correos. Sucursal 53. Calle Conde de Peñalver,Instalaciones accesibles NO municipales,Calle Conde De Peñalver 19 Bis,1921.08,Bicipark Montalban,"Calle de Montalbán, 5",15
Colegio Público Fernando el Católico,Instalaciones accesibles NO municipales,Calle Fernando El Catolico 16,1926.4,Bicipark Almagro,"Calle Almagro, 11",12
Auditorio Nacional de Música,Instalaciones accesibles NO municipales,Calle Principe De Vergara 146,1934.37,Bicipark Orense,"Avenida General Perón, 27",9
Museo Los Caños del Peral. Estación de Metro Ópera,Instalaciones accesibles NO municipales,Plaza Isabel Ii 1,1937.86,Bicipark Villa de Paris,"Calle de Orellana, 23, 21",8
Oficina de Correos. Sucursal 13. Avenida América,Instalaciones accesibles NO municipales,Avenida América 3,1939.94,Bicipark Almagro,"Calle Almagro, 11",12
Oficina de Empleo Goya,Instalaciones accesibles NO municipales,Calle O'Donnell 12,1940.09,Bicipark Almagro,"Calle Almagro, 11",12
Museo Lázaro Galdiano,Instalaciones accesibles NO municipales,Calle Serrano 122,1947.09,Bicipark Recoletos,"Paseo de Recoletos, 2",3
Escuela Infantil Betaria,Instalaciones accesibles NO municipales,Calle Padre Rubio 14,1951.04,Bicipark Orense,"Avenida General Perón, 27",9
Oficina de Correos. Sucursal 53. Calle Conde de Peñalver,Instalaciones accesibles NO municipales,Calle Conde De Peñalver 19 Bis,1952.49,Bicipark Almagro,"Calle Almagro, 11",12
Oficina de Correos. Sucursal 10. Calle Alburquerque,Instalaciones accesibles NO municipales,Calle Alburquerque 2,1964.06,Bicipark Montalban,"Calle de Montalbán, 5",15
Oficina de Correos. Sucursal 53. Calle Conde de Peñalver,Instalaciones accesibles NO municipales,Calle Conde De Peñalver 19 Bis,1964.42,Bicipark Recoletos,"Paseo de Recoletos, 2",3
Mercado de San Miguel,Instalaciones accesibles NO municipales,Plaza San Miguel,1971.85,Bicipark Recoletos,"Paseo de Recoletos, 2",3
Intercambiador de transporte. Avenida de América,Instalaciones accesibles NO municipales,Intercambiador Avenida De America,1982.72,Bicipark Almagro,"Calle Almagro, 11",12
Centro de rehabilitación INDANE,Instalaciones accesibles NO municipales,Calle Vallehermoso 100 Planta Baja,1983.07,Bicipark Almagro,"Calle Almagro, 11",12
La Neomudéjar,Instalaciones accesibles NO municipales,Calle Antonio Nebrija  Sin Número,1988.47,Bicipark Recoletos,"Paseo de Recoletos, 2",3
Oficina de Correos. Oficina Principal. Paseo del Prado,Instalaciones accesibles NO municipales,Paseo Prado 1,1988.68,Bicipark Salamanca,Pl. del Marqués de Salamanca,1
Sede QuedaT.com Centro,Instalaciones accesibles NO municipales,Calle Juanelo 2,1990.26,Bicipark Villa de Paris,"Calle de Orellana, 23, 21",8
Museo Lázaro Galdiano,Instalaciones accesibles NO municipales,Calle Serrano 122,1999.92,Bicipark Orense,"Avenida General Perón, 27",9
Oficina de Correos. Sucursal 44. Calle Padre Rubio,Instalaciones accesibles NO municipales,Calle Padre Rubio 43,2000.94,Bicipark Orense,"Avenida General Perón, 27",9
Oficina de Correos. Sucursal 07. Calle Palos de la Frontera,Instalaciones accesibles NO municipales,Calle Palos De La Frontera 6 Y 10,2001.02,Bicipark Montalban,"Calle de Montalbán, 5",15
Centro de Educación de Personas Adultas (CEPA) Distrito Centro,Instalaciones accesibles NO municipales,Calle San Bernardo 70 Planta 2,2001.41,Bicipark Montalban,"Calle de Montalbán, 5",15
Oficina de Correos. Sucursal 53. Calle Conde de Peñalver,Instalaciones accesibles NO municipales,Calle Conde De Peñalver 19 Bis,2001.9,Bicipark Villa de Paris,"Calle de Orellana, 23, 21",8
Casón del Buen Retiro.,Instalaciones accesibles NO municipales,Calle Alfonso Xii 28,2014.91,Bicipark Salamanca,Pl. del Marqués de Salamanca,1
Museo del Ferrocarril de Madrid,Instalaciones accesibles NO municipales,Paseo Delicias 61,2016.05,Bicipark Montalban,"Calle de Montalbán, 5",15
Oficina de Correos. Sucursal 19. Calle Chile,Instalaciones accesibles NO municipales,Calle Chile 4,2019.76,Bicipark Orense,"Avenida General Perón, 27",9
Centro de día y centro ocupacional para la atención al funcionamiento de personas con patología dual Pardo Valcarce,Instalaciones accesibles NO municipales,Calle Monasterio De Las Huelgas 15,2023.56,Bicipark Pitis,"Calle Pau Arroyo del Fresno, 181",7
Colegio Público Fernando el Católico,Instalaciones accesibles NO municipales,Calle Fernando El Catolico 16,2023.99,Bicipark Villa de Paris,"Calle de Orellana, 23, 21",8
Residencia de estudiantes Palacio de Barradas,Instalaciones accesibles NO municipales,Calle San Bernardo 63,2024.07,Bicipark Montalban,"Calle de Montalbán, 5",15
Colegio Público Reina Victoria,Instalaciones accesibles NO municipales,Calle Principe De Vergara 61,2027.27,Bicipark Recoletos,"Paseo de Recoletos, 2",3
Oficina de Correos. Sucursal 51. Calle Virgen de Aránzazu,Instalaciones accesibles NO municipales,Calle Virgen De Aranzazu 31,2029.49,Bicipark Recuerdo,"Calle Hiedra, 26",13
Sala El Águila,Instalaciones accesibles NO municipales,Calle Ramirez De Prado 3,2031.77,Bicipark Montalban,"Calle de Montalbán, 5",15
Teatros del Canal,Instalaciones accesibles NO municipales,Calle Cea Bermudez 1,2031.83,Bicipark Orense,"Avenida General Perón, 27",9
Cine Cinesa Proyecciones,Instalaciones accesibles NO municipales,Calle Fuencarral 136,2034.17,Bicipark Montalban,"Calle de Montalbán, 5",15
Colegio El Valle II,Instalaciones accesibles NO municipales,Calle Ana De Austria 60,2041.05,Bicipark Fuente de la Mora,Estación de Fuente de la Mora,9
Museo Nacional de Antropología,Instalaciones accesibles NO municipales,Calle Alfonso Xii 68,2045.04,Bicipark Villa de Paris,"Calle de Orellana, 23, 21",8
Oficina de Tramitación del DNI y Pasaporte Padre Piquer,Instalaciones accesibles NO municipales,Avenida Padre Piquer 18,2046.54,Bicipark Aviación,Parking Aviación Española,10
Instituto de Educación Secundaria (IES) García Morato,Instalaciones accesibles NO municipales,Calle General Saliquet 34,2050.26,Bicipark Aviación,Parking Aviación Española,10
Comisaría de Policía y Oficina de Tramitación DNI y Pasaporte (Chamartín),Instalaciones accesibles NO municipales,Avenida Pio Xii 48,2051.2,Bicipark Fuente de la Mora,Estación de Fuente de la Mora,9
Sala de Arte Joven,Instalaciones accesibles NO municipales,Avenida America 13,2052.22,Bicipark Almagro,"Calle Almagro, 11",12
Museo Naval,Instalaciones accesibles NO municipales,Paseo Prado 3,2053.26,Bicipark Salamanca,Pl. del Marqués de Salamanca,1
Museo Los Caños del Peral. Estación de Metro Ópera,Instalaciones accesibles NO municipales,Plaza Isabel Ii 1,2054.81,Bicipark Montalban,"Calle de Montalbán, 5",15
Biblioteca Pública José Luis Sampedro (Chamberí),Instalaciones accesibles NO municipales,Calle Felipe El Hermoso 4,2059.39,Bicipark Orense,"Avenida General Perón, 27",9
Mercado de San Miguel,Instalaciones accesibles NO municipales,Plaza San Miguel,2060.81,Bicipark Villa de Paris,"Calle de Orellana, 23, 21",8
Movistar Academy Magariños,Instalaciones accesibles NO municipales,Calle Serrano 129,2065.02,Bicipark Villa de Paris,"Calle de Orellana, 23, 21",8
Ministerio de Política Territorial. Delegación del Gobierno en Madrid. Oficina de asistencia en materia de registro,Instalaciones accesibles NO municipales,Calle Garcia De Paredes 65,2065.78,Bicipark Montalban,"Calle de Montalbán, 5",15
Museo de Historia de la Comunidad Judía de Madrid,Instalaciones accesibles NO municipales,Calle Balmes 3,2068.3,Bicipark Orense,"Avenida General Perón, 27",9
Palacio de Velázquez,Instalaciones accesibles NO municipales,Paseo Venezuela 2,2071.97,Bicipark Almagro,"Calle Almagro, 11",12
Oficina de Correos. Sucursal 03. Calle Maudes,Instalaciones accesibles NO municipales,Calle Maudes 39,2074.88,Bicipark Almagro,"Calle Almagro, 11",12
Administración Ciudad Lineal. AEAT,Instalaciones accesibles NO municipales,Calle Uruguay 16,2079.97,Bicipark Recuerdo,"Calle Hiedra, 26",13
Museo ABC,Instalaciones accesibles NO municipales,Calle Amaniel 29 -31,2083.03,Bicipark Recoletos,"Paseo de Recoletos, 2",3
Mercado de San Miguel,Instalaciones accesibles NO municipales,Plaza San Miguel,2083.07,Bicipark Montalban,"Calle de Montalbán, 5",15
Colegio Público Legado Crespo,Instalaciones accesibles NO municipales,Paseo Acacias 2,2085.81,Bicipark Montalban,"Calle de Montalbán, 5",15
Colegio Público Reina Victoria,Instalaciones accesibles NO municipales,Calle Principe De Vergara 61,2111.76,Bicipark Montalban,"Calle de Montalbán, 5",15
Residencia para personas con discapacidad intelectual gravemente afectadas y centro de día Dos de Mayo,Instalaciones accesibles NO municipales,Calle Oña 1,2113.36,Bicipark Recuerdo,"Calle Hiedra, 26",13
Palacio de Liria,Instalaciones accesibles NO municipales,Calle Princesa 20,2117.03,Bicipark Villa de Paris,"Calle de Orellana, 23, 21",8
Centro de Natación Mundial 86 (M - 86),Instalaciones accesibles NO municipales,Calle Jose Martinez De Velasco 3,2120.33,Bicipark Salamanca,Pl. del Marqués de Salamanca,1
Biblioteca Pública Ruiz Egea (Chamberí),Instalaciones accesibles NO municipales,Calle Raimundo Fernandez Villaverde 6,2124.43,Bicipark Almagro,"Calle Almagro, 11",12
Museo Lázaro Galdiano,Instalaciones accesibles NO municipales,Calle Serrano 122,2134.36,Bicipark Montalban,"Calle de Montalbán, 5",15
Oficina de Correos. Sucursal 21. Calle Antonio Arias,Instalaciones accesibles NO municipales,Calle Antonio Arias 2,2138.04,Bicipark Montalban,"Calle de Montalbán, 5",15
Cine Cinesa Manoteras,Instalaciones accesibles NO municipales,Avenida Manoteras 40,2139.2,Bicipark Recuerdo,"Calle Hiedra, 26",13
Administración Fermín Caballero. AEAT,Instalaciones accesibles NO municipales,Calle Fermin Caballero 66,2143.86,Bicipark Pitis,"Calle Pau Arroyo del Fresno, 181",7
Oficina de Correos. Sucursal 07. Calle Palos de la Frontera,Instalaciones accesibles NO municipales,Calle Palos De La Frontera 6 Y 10,2146.1,Bicipark Recoletos,"Paseo de Recoletos, 2",3
Biblioteca del Senado,Instalaciones accesibles NO municipales,Calle Bailen 3,2153.34,Bicipark Villa de Paris,"Calle de Orellana, 23, 21",8
CaixaForum Madrid,Instalaciones accesibles NO municipales,Paseo Prado 36,2155.63,Bicipark Almagro,"Calle Almagro, 11",12
Biblioteca Pública José Luis Sampedro (Chamberí),Instalaciones accesibles NO municipales,Calle Felipe El Hermoso 4,2161.06,Bicipark Montalban,"Calle de Montalbán, 5",15
WiZink Center,Instalaciones accesibles NO municipales,Calle Jorge Juan 99,2161.07,Bicipark Montalban,"Calle de Montalbán, 5",15
Biblioteca del Centro de Estudios Políticos y Constitucionales,Instalaciones accesibles NO municipales,Plaza Marina Española 9,2163.84,Bicipark Villa de Paris,"Calle de Orellana, 23, 21",8
Oficina de Correos. Sucursal 88. Calle Mejía Lequerica,Instalaciones accesibles NO municipales,Calle Mejia Lequerica 7,2164.74,Bicipark Salamanca,Pl. del Marqués de Salamanca,1
Colegio Público Legado Crespo,Instalaciones accesibles NO municipales,Paseo Acacias 2,2165.81,Bicipark Recoletos,"Paseo de Recoletos, 2",3
Oficina de Correos. Sucursal 50. Avenida Padre Piquer,Instalaciones accesibles NO municipales,Avenida Padre Piquer 13,2167.57,Bicipark Aviación,Parking Aviación Española,10
Estación ferroviaria Madrid Puerta de Atocha,Instalaciones accesibles NO municipales,Plaza Emperador Carlos V,2170.22,Bicipark Villa de Paris,"Calle de Orellana, 23, 21",8
Centro de rehabilitación INDANE,Instalaciones accesibles NO municipales,Calle Vallehermoso 100 Planta Baja,2172.71,Bicipark Orense,"Avenida General Perón, 27",9
Oficina de Tramitación del DNI y Pasaporte Doce de Octubre,Instalaciones accesibles NO municipales,Calle Doce De Octubre 7,2180.17,Bicipark Villa de Paris,"Calle de Orellana, 23, 21",8
Museo de Historia de la Comunidad Judía de Madrid,Instalaciones accesibles NO municipales,Calle Balmes 3,2183.0,Bicipark Montalban,"Calle de Montalbán, 5",15
Colegio Público Escuelas Bosque,Instalaciones accesibles NO municipales,Avenida Santo Angel De La Guarda 4,2184.45,Bicipark Orense,"Avenida General Perón, 27",9
Instituto de Educación Secundaria (IES) Fortuny,Instalaciones accesibles NO municipales,Calle Fortuny 24,2186.54,Bicipark Orense,"Avenida General Perón, 27",9
Palacio Real de Madrid,Instalaciones accesibles NO municipales,Calle Bailen,2187.46,Bicipark Villa de Paris,"Calle de Orellana, 23, 21",8
Centro de día y residencia Medinaceli para personas con discapacidad intelectual,Instalaciones accesibles NO municipales,Calle Estudiantes 3,2191.72,Bicipark Orense,"Avenida General Perón, 27",9
Oficina de Empleo Atocha,Instalaciones accesibles NO municipales,Calle Mendez Alvaro 7,2196.03,Bicipark Recoletos,"Paseo de Recoletos, 2",3
Instalación Deportiva Canal de Isabel II,Instalaciones accesibles NO municipales,Avenida Filipinas 54,2197.03,Bicipark Villa de Paris,"Calle de Orellana, 23, 21",8
Centro de Día Privado 'DomusVi Maestranza',Instalaciones accesibles NO municipales,Calle Tellez 30 Planta Posterior - Local 16,2204.51,Bicipark Montalban,"Calle de Montalbán, 5",15
Colegio Scuola Materna Italiana de Madrid,Instalaciones accesibles NO municipales,Calle Agustin De Betancourt 1,2204.96,Bicipark Salamanca,Pl. del Marqués de Salamanca,1
Oficina de Tramitación del DNI y Pasaporte (Tetuán),Instalaciones accesibles NO municipales,Calle Santa Valentina 2,2211.1,Bicipark Recuerdo,"Calle Hiedra, 26",13
Administración María de Molina. AEAT,Instalaciones accesibles NO municipales,Calle Nuñez De Balboa 116,2213.01,Bicipark Recoletos,"Paseo de Recoletos, 2",3
Casa de México,Instalaciones accesibles NO municipales,Calle Alberto Aguilera 20,2214.83,Bicipark Recoletos,"Paseo de Recoletos, 2",3
Palacio de Cristal,Instalaciones accesibles NO municipales,Paseo Republica De Cuba 4,2215.02,Bicipark Almagro,"Calle Almagro, 11",12
Oficina de Correos. Sucursal 66. Plaza Pablo Ruiz Picasso,Instalaciones accesibles NO municipales,Plaza Pablo Ruiz Picasso 1,2215.46,Bicipark Almagro,"Calle Almagro, 11",12
Aparcamiento público Saba Estación Ferroviaria Madrid Chamartín,Instalaciones accesibles NO municipales,Calle Agustin De Foxa 34,2217.0,Bicipark Orense,"Avenida General Perón, 27",9
Oficina de Empleo Estrecho - Azca,Instalaciones accesibles NO municipales,Plaza Pablo Ruiz Picasso  Edificio Serantes,2217.2,Bicipark Almagro,"Calle Almagro, 11",12
Oficina de Correos. Sucursal 02. Calle Luis Vives,Instalaciones accesibles NO municipales,Calle Luis Vives 12,2223.51,Bicipark Orense,"Avenida General Perón, 27",9
Administración María de Molina. AEAT,Instalaciones accesibles NO municipales,Calle Nuñez De Balboa 116,2224.41,Bicipark Orense,"Avenida General Perón, 27",9
Oficina de Correos. Sucursal 40. Calle Tellez,Instalaciones accesibles NO municipales,Calle Tellez 27,2225.66,Bicipark Montalban,"Calle de Montalbán, 5",15
Administración Guzmán el Bueno. AEAT,Instalaciones accesibles NO municipales,Calle Guzman El Bueno 139,2235.36,Bicipark Orense,"Avenida General Perón, 27",9
Delegación Especial de Madrid. AEAT,Instalaciones accesibles NO municipales,Calle Guzman El Bueno 139,2235.36,Bicipark Orense,"Avenida General Perón, 27",9
Biblioteca del Defensor del Pueblo,Instalaciones accesibles NO municipales,Calle Fortuny 22,2235.81,Bicipark Orense,"Avenida General Perón, 27",9
Centro de rehabilitación INDANE,Instalaciones accesibles NO municipales,Calle Vallehermoso 100 Planta Baja,2235.83,Bicipark Villa de Paris,"Calle de Orellana, 23, 21",8
Palacio de Liria,Instalaciones accesibles NO municipales,Calle Princesa 20,2238.58,Bicipark Almagro,"Calle Almagro, 11",12
Museo del Ferrocarril de Madrid,Instalaciones accesibles NO municipales,Paseo Delicias 61,2240.28,Bicipark Recoletos,"Paseo de Recoletos, 2",3
Colegio Patrocinio de San José,Instalaciones accesibles NO municipales,Calle Edgar Neville 24,2240.63,Bicipark Almagro,"Calle Almagro, 11",12
Museo del Romanticismo,Instalaciones accesibles NO municipales,Calle San Mateo 13,2243.31,Bicipark Salamanca,Pl. del Marqués de Salamanca,1
Oficina de Empleo Barrio de la Concepción,Instalaciones accesibles NO municipales,Calle Virgen Del Puig 5,2245.03,Bicipark Salamanca,Pl. del Marqués de Salamanca,1
Museo Nacional de Ciencias Naturales,Instalaciones accesibles NO municipales,Calle Jose Gutierrez Abascal 2,2245.88,Bicipark Recoletos,"Paseo de Recoletos, 2",3
Colegio Público Arquitecto Gaudí,Instalaciones accesibles NO municipales,Calle Rosa Jardon 10,2246.63,Bicipark Fuente de la Mora,Estación de Fuente de la Mora,9
Biblioteca del Centro de Estudios Políticos y Constitucionales,Instalaciones accesibles NO municipales,Plaza Marina Española 9,2254.17,Bicipark Recoletos,"Paseo de Recoletos, 2",3
Colegio Oficial de Arquitectos de Madrid (COAM),Instalaciones accesibles NO municipales,Calle Hortaleza 63,2263.98,Bicipark Salamanca,Pl. del Marqués de Salamanca,1
Biblioteca del Instituto Nacional de la Administración Pública (INAP),Instalaciones accesibles NO municipales,Calle Atocha 106,2267.62,Bicipark Almagro,"Calle Almagro, 11",12
Instituto de Educación Secundaria (IES) Tetuán de las Victorias,Instalaciones accesibles NO municipales,Calle Via Limite 14,2267.81,Bicipark Orense,"Avenida General Perón, 27",9
Biblioteca del Senado,Instalaciones accesibles NO municipales,Calle Bailen 3,2268.82,Bicipark Recoletos,"Paseo de Recoletos, 2",3
WiZink Center,Instalaciones accesibles NO municipales,Calle Jorge Juan 99,2270.47,Bicipark Recoletos,"Paseo de Recoletos, 2",3
"Ministerio de Asuntos Exteriores, Unión Europea y Cooperación. Sede Palacio de Santa Cruz",Instalaciones accesibles NO municipales,Plaza Provincia 1,2278.49,Bicipark Almagro,"Calle Almagro, 11",12
Colegio Público Felipe II,Instalaciones accesibles NO municipales,Avenida Asturias 70,2278.6,Bicipark Recuerdo,"Calle Hiedra, 26",13
Palacio Real de Madrid,Instalaciones accesibles NO municipales,Calle Bailen,2282.13,Bicipark Recoletos,"Paseo de Recoletos, 2",3
Sala El Águila,Instalaciones accesibles NO municipales,Calle Ramirez De Prado 3,2289.14,Bicipark Recoletos,"Paseo de Recoletos, 2",3
La Casa Encendida de la Fundación Montemadrid,Instalaciones accesibles NO municipales,Ronda Valencia 2,2289.52,Bicipark Villa de Paris,"Calle de Orellana, 23, 21",8
Centro de atención e información de la Agencia de la Seguridad Social (CAISS) nº 14 Maldonado,Instalaciones accesibles NO municipales,Calle Maldonado 2,2291.79,Bicipark Orense,"Avenida General Perón, 27",9
Oficina de Correos. Sucursal 13. Avenida América,Instalaciones accesibles NO municipales,Avenida América 3,2296.34,Bicipark Villa de Paris,"Calle de Orellana, 23, 21",8
Museo Los Caños del Peral. Estación de Metro Ópera,Instalaciones accesibles NO municipales,Plaza Isabel Ii 1,2298.83,Bicipark Almagro,"Calle Almagro, 11",12
Colegio Público Felipe II,Instalaciones accesibles NO municipales,Avenida Asturias 70,2300.53,Bicipark Orense,"Avenida General Perón, 27",9
Ministerio de Defensa. Oficina de asistencia en materia de registro,Instalaciones accesibles NO municipales,Paseo Castellana 109,2310.61,Bicipark Recuerdo,"Calle Hiedra, 26",13
Biblioteca de la Real Academia de Jurisprudencia y Legislación,Instalaciones accesibles NO municipales,Calle Marques De Cubas 13,2314.04,Bicipark Salamanca,Pl. del Marqués de Salamanca,1
Oficina de Empleo Legazpi,Instalaciones accesibles NO municipales,Paseo Acacias 23,2317.86,Bicipark Montalban,"Calle de Montalbán, 5",15
Oficina de Correos. Sucursal 21. Calle Antonio Arias,Instalaciones accesibles NO municipales,Calle Antonio Arias 2,2319.0,Bicipark Recoletos,"Paseo de Recoletos, 2",3
Intercambiador de transporte. Nuevos Ministerios,Instalaciones accesibles NO municipales,Calle Raimundo Fernandez Villaverde 69,2320.09,Bicipark Salamanca,Pl. del Marqués de Salamanca,1
Museo del Prado,Instalaciones accesibles NO municipales,Paseo Prado,2325.16,Bicipark Salamanca,Pl. del Marqués de Salamanca,1
Aparcamiento público Saba Estación Madrid Atocha P2 y P3,Instalaciones accesibles NO municipales,Paseo Infanta Isabel  Sin Número,2327.89,Bicipark Villa de Paris,"Calle de Orellana, 23, 21",8
Colegio Público Isabel la Católica,Instalaciones accesibles NO municipales,Calle Barcelo 2,2328.65,Bicipark Salamanca,Pl. del Marqués de Salamanca,1
Instituto de Educación Secundaria (IES) Parque Aluche,Instalaciones accesibles NO municipales,Calle Maqueda 86,2331.83,Bicipark Aviación,Parking Aviación Española,10
Museo ABC,Instalaciones accesibles NO municipales,Calle Amaniel 29 -31,2332.4,Bicipark Montalban,"Calle de Montalbán, 5",15
Intercambiador de transporte. Avenida de América,Instalaciones accesibles NO municipales,Intercambiador Avenida De America,2332.44,Bicipark Villa de Paris,"Calle de Orellana, 23, 21",8
Oficina de Tramitación del DNI y Pasaporte San Felipe,Instalaciones accesibles NO municipales,Calle San Felipe 7,2336.55,Bicipark Recuerdo,"Calle Hiedra, 26",13
Intercambiador de transporte. Nuevos Ministerios,Instalaciones accesibles NO municipales,Calle Raimundo Fernandez Villaverde 69,2341.04,Bicipark Villa de Paris,"Calle de Orellana, 23, 21",8
Administración María de Molina. AEAT,Instalaciones accesibles NO municipales,Calle Nuñez De Balboa 116,2349.78,Bicipark Montalban,"Calle de Montalbán, 5",15
Biblioteca Pública José Luis Sampedro (Chamberí),Instalaciones accesibles NO municipales,Calle Felipe El Hermoso 4,2355.14,Bicipark Salamanca,Pl. del Marqués de Salamanca,1
Museo Nacional Thyssen-Bornemisza,Instalaciones accesibles NO municipales,Paseo Prado 8,2355.58,Bicipark Salamanca,Pl. del Marqués de Salamanca,1
Dirección General de Vivienda y Rehabilitación. Comunidad de Madrid,Instalaciones accesibles NO municipales,Calle Maudes 17,2355.89,Bicipark Villa de Paris,"Calle de Orellana, 23, 21",8
Oficina de Correos. Sucursal 06. Calle Claudio Coello,Instalaciones accesibles NO municipales,Calle Claudio Coello 100,2363.91,Bicipark Orense,"Avenida General Perón, 27",9
Instituto de Educación Secundaria (IES) Nuestra Señora de la Almudena,Instalaciones accesibles NO municipales,Plaza Remonta 17,2365.57,Bicipark Recuerdo,"Calle Hiedra, 26",13
Colegio Público Nuestra Señora de la Paloma,Instalaciones accesibles NO municipales,Calle Tabernillas 2,2371.2,Bicipark Recoletos,"Paseo de Recoletos, 2",3
Oficina de Empleo Legazpi,Instalaciones accesibles NO municipales,Paseo Acacias 23,2384.68,Bicipark Recoletos,"Paseo de Recoletos, 2",3
Palacio de Liria,Instalaciones accesibles NO municipales,Calle Princesa 20,2386.44,Bicipark Recoletos,"Paseo de Recoletos, 2",3
