Place of interest,Type of place,Place address,Distance from parking in mts,BiciPARK station,BiciPARK address
Oficina de Tramitación del DNI y Pasaporte (Tetuán),Instalaciones accesibles NO municipales,Calle Santa Valentina 2,1419.66,Bicipark Orense,"Avenida General Perón, 27"
Oficina de Tramitación del DNI y Pasaporte Doce de Octubre,Instalaciones accesibles NO municipales,Calle Doce De Octubre 7,1581.33,Bicipark Montalban,"Calle de Montalbán, 5"
Oficina de Tramitación del DNI y Pasaporte Padre Piquer,Instalaciones accesibles NO municipales,Avenida Padre Piquer 18,2046.54,Bicipark Aviación,Parking Aviación Española
Oficina de Tramitación del DNI y Pasaporte San Felipe,Instalaciones accesibles NO municipales,Calle San Felipe 7,1009.18,Bicipark Orense,"Avenida General Perón, 27"
Palacio Real de El Pardo,Instalaciones accesibles NO municipales,Calle Manuel Alonso 8,6345.26,Bicipark Pitis,"Calle Pau Arroyo del Fresno, 181"
Palacio Real de Madrid,Instalaciones accesibles NO municipales,Calle Bailen,2187.46,Bicipark Villa de Paris,"Calle de Orellana, 23, 21"
Palacio de Congresos de Madrid,Instalaciones accesibles NO municipales,Paseo Castellana 99,265.67,Bicipark Orense,"Avenida General Perón, 27"
Palacio de Cristal,Instalaciones accesibles NO municipales,Paseo Republica De Cuba 4,1079.25,Bicipark Montalban,"Calle de Montalbán, 5"
Palacio de Liria,Instalaciones accesibles NO municipales,Calle Princesa 20,2117.03,Bicipark Villa de Paris,"Calle de Orellana, 23, 21"
Palacio de Velázquez,Instalaciones accesibles NO municipales,Paseo Venezuela 2,1028.37,Bicipark Montalban,"Calle de Montalbán, 5"
Panteón de España,Instalaciones accesibles NO municipales,Calle Julian Gayarre 3,1561.13,Bicipark Montalban,"Calle de Montalbán, 5"
Parque Biológico de Madrid. Faunia,Instalaciones accesibles NO municipales,Avenida Comunidades 2,8616.05,Bicipark Salamanca,Pl. del Marqués de Salamanca
Parque Deportivo Puerta de Hierro,Instalaciones accesibles NO municipales,Carretera De La Coruña  Kilómetro 7,4557.85,Bicipark Pitis,"Calle Pau Arroyo del Fresno, 181"
Parroquia San Jenaro,Instalaciones accesibles NO municipales,Calle Vital Aza 81,4633.68,Bicipark Salamanca,Pl. del Marqués de Salamanca
Parroquia Santa Eulalia de Mérida,Instalaciones accesibles NO municipales,Calle Pedroches 5,4875.18,Bicipark Montalban,"Calle de Montalbán, 5"
Parroquia Santos Inocentes,Instalaciones accesibles NO municipales,Calle Embajadores 209,3454.51,Bicipark Montalban,"Calle de Montalbán, 5"
Parroquia Santísima Trinidad,Instalaciones accesibles NO municipales,Calle Martinez Villergas 8,3190.1,Bicipark Salamanca,Pl. del Marqués de Salamanca
Plaza de Misterios. Recinto Ferial.,Instalaciones accesibles NO municipales,Calle Misterios 1,4556.98,Bicipark Salamanca,Pl. del Marqués de Salamanca
Real Basílica San Francisco el Grande,Instalaciones accesibles NO municipales,Calle San Buenaventura 1,2698.04,Bicipark Recoletos,"Paseo de Recoletos, 2"
Residencia Mirasierra para personas con discapacidad intelectual gravemente afectadas y centro de día CAMP Mirasierra,Instalaciones accesibles NO municipales,Calle La Maso 40,1430.88,Bicipark Pitis,"Calle Pau Arroyo del Fresno, 181"
Residencia Universitaria Augustinus Nebrija,Instalaciones accesibles NO municipales,Calle Cea Bermudez 59,2701.41,Bicipark Almagro,"Calle Almagro, 11"
Residencia Universitaria Erasmo,Instalaciones accesibles NO municipales,Calle Erasmo De Rotterdam 5 Y 7,6478.95,Bicipark Pitis,"Calle Pau Arroyo del Fresno, 181"
Residencia de Estudiantes Ciudad Escolar. Comunidad de Madrid.,Instalaciones accesibles NO municipales,"Carretera Colmenar Viejo  Km. 12,800",5146.71,Bicipark Fuente de la Mora,Estación de Fuente de la Mora
Residencia de estudiantes Palacio de Barradas,Instalaciones accesibles NO municipales,Calle San Bernardo 63,1478.38,Bicipark Villa de Paris,"Calle de Orellana, 23, 21"
Residencia para mayores Juan XXIII (Aravaca),Instalaciones accesibles NO municipales,Calle Procion 10,9013.83,Bicipark Pitis,"Calle Pau Arroyo del Fresno, 181"
Residencia para mayores y centro de día Peñuelas,Instalaciones accesibles NO municipales,Calle Arganda 11,2575.06,Bicipark Montalban,"Calle de Montalbán, 5"
Residencia para personas con discapacidad intelectual gravemente afectadas y centro de día Dos de Mayo,Instalaciones accesibles NO municipales,Calle Oña 1,827.87,Bicipark Fuente de la Mora,Estación de Fuente de la Mora
Residencia y centro de día Carmen Sevilla,Instalaciones accesibles NO municipales,Calle Gabriel Montero 1,5406.67,Bicipark Salamanca,Pl. del Marqués de Salamanca
Residencia y centro de rehabilitación Duques de Lugo,Instalaciones accesibles NO municipales,Calle Adonis 1,1145.82,Bicipark Aviación,Parking Aviación Española
"Residencia, centro de día y centro ocupacional Götze",Instalaciones accesibles NO municipales,Carretera Castilla 5,6652.86,Bicipark Pitis,"Calle Pau Arroyo del Fresno, 181"
"Residencia, centro de día y centro ocupacional Ángel de la Guarda",Instalaciones accesibles NO municipales,Avenida Daroca 60,2975.07,Bicipark Salamanca,Pl. del Marqués de Salamanca
Sala Alcalá 31,Instalaciones accesibles NO municipales,Calle Alcala 31,706.17,Bicipark Recoletos,"Paseo de Recoletos, 2"
Sala El Águila,Instalaciones accesibles NO municipales,Calle Ramirez De Prado 3,2031.77,Bicipark Montalban,"Calle de Montalbán, 5"
Sala de Arte Joven,Instalaciones accesibles NO municipales,Avenida America 13,966.65,Bicipark Salamanca,Pl. del Marqués de Salamanca
Sala de exposiciones Fundación Canal (Castellana 214),Instalaciones accesibles NO municipales,Paseo Castellana 214,1403.82,Bicipark Orense,"Avenida General Perón, 27"
"Sala de exposiciones Fundación Canal (Mateo Inurria, 2)",Instalaciones accesibles NO municipales,Calle Mateo Inurria 2,1190.8,Bicipark Recuerdo,"Calle Hiedra, 26"
Sala de exposiciones Fundación MAPFRE Recoletos,Instalaciones accesibles NO municipales,Paseo Recoletos 23,250.43,Bicipark Recoletos,"Paseo de Recoletos, 2"
Sede QuedaT.com Arganzuela,Instalaciones accesibles NO municipales,Calle Juana Doña 7,2400.15,Bicipark Montalban,"Calle de Montalbán, 5"
Sede QuedaT.com Barajas,Instalaciones accesibles NO municipales,Calle Autogiro 1,8993.44,Bicipark Fuente de la Mora,Estación de Fuente de la Mora
Sede QuedaT.com Carabanchel,Instalaciones accesibles NO municipales,Calle Ramon Sainz 27,5111.96,Bicipark Aviación,Parking Aviación Española
Sede QuedaT.com Centro,Instalaciones accesibles NO municipales,Calle Juanelo 2,1701.48,Bicipark Recoletos,"Paseo de Recoletos, 2"
Sede QuedaT.com Chamartín,Instalaciones accesibles NO municipales,Pasaje Doña Carlota 13,2649.66,Bicipark Salamanca,Pl. del Marqués de Salamanca
Sede QuedaT.com Fuencarral-El Pardo (Centro Comunitario Guatemala),Instalaciones accesibles NO municipales,Calle Celanova 2,2935.87,Bicipark Pitis,"Calle Pau Arroyo del Fresno, 181"
Sede QuedaT.com Hortaleza,Instalaciones accesibles NO municipales,Calle Mar Amarillo 4,2643.4,Bicipark Fuente de la Mora,Estación de Fuente de la Mora
Sede QuedaT.com Latina,Instalaciones accesibles NO municipales,Calle La Latina 25,4111.37,Bicipark Aviación,Parking Aviación Española
Sede QuedaT.com Moratalaz,Instalaciones accesibles NO municipales,Calle Corregidor Alonso De Tobar 15,4513.71,Bicipark Salamanca,Pl. del Marqués de Salamanca
Sede QuedaT.com Puente de Vallecas,Instalaciones accesibles NO municipales,Calle Cardeñosa 18,4358.06,Bicipark Montalban,"Calle de Montalbán, 5"
Sede QuedaT.com San Blas-Canillejas,Instalaciones accesibles NO municipales,Calle San Faustino 14,7382.58,Bicipark Fuente de la Mora,Estación de Fuente de la Mora
Sede QuedaT.com Tetuán,Instalaciones accesibles NO municipales,Calle Cedros 3,1586.88,Bicipark Orense,"Avenida General Perón, 27"
Sede QuedaT.com Usera,Instalaciones accesibles NO municipales,Calle Miramadrid 1,4415.98,Bicipark Montalban,"Calle de Montalbán, 5"
Sede QuedaT.com Vicálvaro,Instalaciones accesibles NO municipales,Plaza Juan Benet 9,7056.64,Bicipark Salamanca,Pl. del Marqués de Salamanca
Sede QuedaT.com Villa de Vallecas,Instalaciones accesibles NO municipales,Calle Sierra Gador 19,8281.55,Bicipark Salamanca,Pl. del Marqués de Salamanca
Sede QuedaT.com Villaverde,Instalaciones accesibles NO municipales,Calle Albino Hernández Lázaro 36,8436.64,Bicipark Montalban,"Calle de Montalbán, 5"
Servicio de Documentación y Biblioteca de la Asamblea de Madrid,Instalaciones accesibles NO municipales,Plaza Asamblea De Madrid 1,5018.35,Bicipark Montalban,"Calle de Montalbán, 5"
Servicios centrales. Servicio Público de Empleo Estatal,Instalaciones accesibles NO municipales,Calle Victor De La Serna 43,1798.44,Bicipark Recuerdo,"Calle Hiedra, 26"
Tanatorio Parque de San Isidro de Madrid,Instalaciones accesibles NO municipales,Calle Comuneros De Castilla 15,4225.42,Bicipark Recoletos,"Paseo de Recoletos, 2"
Tanatorio Sur de Madrid,Instalaciones accesibles NO municipales,Calle Ildefonso Gonzalez Valencia 1,6064.92,Bicipark Montalban,"Calle de Montalbán, 5"
Teatro Municipal de Títeres. Parque de El Retiro,Instalaciones accesibles NO municipales,Avenida México 4 Parque De El Retiro. Entrada Por Puerta De La Independencia,466.59,Bicipark Montalban,"Calle de Montalbán, 5"
Teatros del Canal,Instalaciones accesibles NO municipales,Calle Cea Bermudez 1,1635.89,Bicipark Almagro,"Calle Almagro, 11"
WiZink Center,Instalaciones accesibles NO municipales,Calle Jorge Juan 99,1112.09,Bicipark Salamanca,Pl. del Marqués de Salamanca
Yacimiento paleontológico. Estación de Metro Carpetana,Instalaciones accesibles NO municipales,Calle Via Carpetana 141,4835.42,Bicipark Aviación,Parking Aviación Española
